representation_model,topic,words,weighted_words
default,-1,"model, brand, car, new, drive, design, driving, vehicle, brand model, performance","[[""model"", 0.021165355656774333], [""brand"", 0.019116662350493377], [""car"", 0.017645369232456357], [""new"", 0.01643138724482096], [""drive"", 0.01227924790410831], [""design"", 0.012109653837692393], [""driving"", 0.009719798688790257], [""vehicle"", 0.009472756393612563], [""brand model"", 0.008666312963207605], [""performance"", 0.007889478464587513]]"
default,0,"brand, model, car, new, design, cars, customers, best, sedan, market","[[""brand"", 0.040090563990849884], [""model"", 0.027969520009995575], [""car"", 0.02435767647015506], [""new"", 0.02430205241233727], [""design"", 0.018114189252263744], [""cars"", 0.016799455730245594], [""customers"", 0.01574447520228674], [""best"", 0.014786700774113572], [""sedan"", 0.014669554030334453], [""market"", 0.013735299799487946]]"
default,1,"hybrid, engine, horsepower, electric, model, battery, torque, motor, range, liter","[[""hybrid"", 0.03912753083282079], [""engine"", 0.03089626533425148], [""horsepower"", 0.028364797639499634], [""electric"", 0.026494669244047957], [""model"", 0.024189681221149433], [""battery"", 0.022596661478367887], [""torque"", 0.020867709004693962], [""motor"", 0.019339183955033177], [""range"", 0.019104541406405363], [""liter"", 0.01895140096060267]]"
default,2,"apple, audio, android, carplay, available, wireless, apple carplay, touchscreen, smartphone, connected","[[""apple"", 0.02770578249963795], [""audio"", 0.027251745293031447], [""android"", 0.026679206770946748], [""carplay"", 0.024194350689319327], [""available"", 0.023517702846898077], [""wireless"", 0.023073186532523854], [""apple carplay"", 0.022019558344168962], [""touchscreen"", 0.020391537471004986], [""smartphone"", 0.02030964162311211], [""connected"", 0.01927275809608111]]"
default,3,"rear, grille, led, light, design, car, headlights, look, lights, line","[[""rear"", 0.03401095181503365], [""grille"", 0.03169629918377247], [""led"", 0.02993051092970247], [""light"", 0.028170110501665784], [""design"", 0.02725697533896398], [""car"", 0.025204343452563605], [""headlights"", 0.021979015645347665], [""look"", 0.02175449888319383], [""lights"", 0.02059605349678554], [""line"", 0.019457965938624994]]"
default,4,"electric, brand, ev, vehicles, model, vehicle, electric vehicle, new, electric car, car","[[""electric"", 0.060875740222502674], [""brand"", 0.029439544998758647], [""ev"", 0.026353975179185057], [""vehicles"", 0.023753413097729954], [""model"", 0.022011568374917842], [""vehicle"", 0.020021474076999522], [""electric vehicle"", 0.019340971667554482], [""new"", 0.019207307315479226], [""electric car"", 0.018906890429570274], [""car"", 0.01785687900935126]]"
default,5,"assist, safety, lane, parking, spot, alert, collision, blind, blind spot, traffic","[[""assist"", 0.05360577030100158], [""safety"", 0.04390202728436862], [""lane"", 0.0372335829406738], [""parking"", 0.02625960972782603], [""spot"", 0.02602915941663055], [""alert"", 0.025842728907361587], [""collision"", 0.02485677837186829], [""blind"", 0.024647107814394532], [""blind spot"", 0.0239915641731688], [""traffic"", 0.023679913626250555]]"
default,6,"charging, charge, stations, fast, charger, level, dc, charging stations, volt, station","[[""charging"", 0.11740190871844912], [""charge"", 0.06454415225834292], [""stations"", 0.030184883326661586], [""fast"", 0.027358264336695304], [""charger"", 0.027106428217339846], [""level"", 0.026533997618231605], [""dc"", 0.025701877045612772], [""charging stations"", 0.024174538186990877], [""volt"", 0.023489391750890366], [""station"", 0.02273191547198697]]"
default,7,"episode, everybody, talking, absolutely, afternoon, minutes, congratulations, moment, excited, able","[[""episode"", 0.04053101932992308], [""everybody"", 0.034160837041110406], [""talking"", 0.03401249859831544], [""absolutely"", 0.033027025440638035], [""afternoon"", 0.030104805052863753], [""minutes"", 0.029166826319805796], [""congratulations"", 0.028860078479320143], [""moment"", 0.028714853532426837], [""excited"", 0.027522521200531693], [""able"", 0.027405694090742224]]"
default,8,"seats, seat, space, rear, heated, cargo, rear seats, interior, leather, passengers","[[""seats"", 0.06362577677001505], [""seat"", 0.049983520850478705], [""space"", 0.031440866331272604], [""rear"", 0.028411345111487286], [""heated"", 0.02576528478309609], [""cargo"", 0.023380068600295928], [""rear seats"", 0.020612396370995368], [""interior"", 0.01992785491869717], [""leather"", 0.01954988147546554], [""passengers"", 0.019346350450869496]]"
