representation_model,topic,words,weighted_words
keybert,-1,"interior, design, vehicle, car, hybrid, drive, driving, brand, model, performance","[[""interior"", 0.4159165620803833], [""design"", 0.37332144379615784], [""vehicle"", 0.328607439994812], [""car"", 0.3248264789581299], [""hybrid"", 0.3005672097206116], [""drive"", 0.2723003029823303], [""driving"", 0.2602270841598511], [""brand"", 0.23175762593746185], [""model"", 0.21050018072128296], [""performance"", 0.19572186470031738]]"
keybert,0,"brand, sedan, car, coupe, cars, vehicle, model, market, industry, sales","[[""brand"", 0.4826788902282715], [""sedan"", 0.4045308530330658], [""car"", 0.3731936812400818], [""coupe"", 0.3674613833427429], [""cars"", 0.36061668395996094], [""vehicle"", 0.35014599561691284], [""model"", 0.3289889991283417], [""market"", 0.27120256423950195], [""industry"", 0.2537265121936798], [""sales"", 0.24236202239990234]]"
keybert,1,"hybrid, powertrain, ev, horsepower, vehicle, engine, electric, car, motor, fuel","[[""hybrid"", 0.6366989016532898], [""powertrain"", 0.41070228815078735], [""ev"", 0.3600456714630127], [""horsepower"", 0.3585357069969177], [""vehicle"", 0.35181206464767456], [""engine"", 0.33632683753967285], [""electric"", 0.3333866000175476], [""car"", 0.3298868238925934], [""motor"", 0.31343740224838257], [""fuel"", 0.30864566564559937]]"
keybert,2,"smartphone, android, touchscreen, iphone, mobile, apple, devices, carplay, wireless, device","[[""smartphone"", 0.5448790192604065], [""android"", 0.4970279037952423], [""touchscreen"", 0.47137945890426636], [""iphone"", 0.45928943157196045], [""mobile"", 0.43443894386291504], [""apple"", 0.4335082173347473], [""devices"", 0.43082040548324585], [""carplay"", 0.4167424440383911], [""wireless"", 0.408481240272522], [""device"", 0.38993680477142334]]"
keybert,3,"headlights, lighting, design, lights, led, grille, distinctive","[[""headlights"", 0.4880484342575073], [""lighting"", 0.3896227478981018], [""design"", 0.3890945315361023], [""lights"", 0.34019148349761963], [""led"", 0.33332759141921997], [""grille"", 0.3264448642730713], [""distinctive"", 0.2900131940841675]]"
keybert,4,"electric, ev, electrification, electrified, evs, model, vehicle, car, brand, battery","[[""electric"", 0.5805031061172485], [""ev"", 0.5401450991630554], [""electrification"", 0.5277585983276367], [""electrified"", 0.5244863033294678], [""evs"", 0.4710995554924011], [""model"", 0.38611382246017456], [""vehicle"", 0.3745473623275757], [""car"", 0.36798110604286194], [""brand"", 0.36331695318222046], [""battery"", 0.3507736325263977]]"
keybert,5,"safety, detection, steering, pedestrian, driver, radar, blind, features, alert, standard","[[""safety"", 0.47162511944770813], [""detection"", 0.357954204082489], [""steering"", 0.32894521951675415], [""pedestrian"", 0.3202534317970276], [""driver"", 0.31766024231910706], [""radar"", 0.30569761991500854], [""blind"", 0.29704582691192627], [""features"", 0.28651735186576843], [""alert"", 0.2848760783672333], [""standard"", 0.28465986251831055]]"
keybert,6,"charging, charge, charger, charged, recharge, chargers, battery, outlet, electric, level","[[""charging"", 0.5794583559036255], [""charge"", 0.5242246389389038], [""charger"", 0.5102367401123047], [""charged"", 0.4489171504974365], [""recharge"", 0.4191281795501709], [""chargers"", 0.3324149250984192], [""battery"", 0.29083770513534546], [""outlet"", 0.2666148543357849], [""electric"", 0.26254141330718994], [""level"", 0.25561758875846863]]"
keybert,7,filtered_topic_terms_unavailable,"[[""filtered_topic_terms_unavailable"", 0.0]]"
keybert,8,"seats, seating, seat, passengers, trunk, cabin, comfortable, rear, passenger, model","[[""seats"", 0.5400851964950562], [""seating"", 0.4923420548439026], [""seat"", 0.4592568874359131], [""passengers"", 0.3974740207195282], [""trunk"", 0.38904863595962524], [""cabin"", 0.37469714879989624], [""comfortable"", 0.3542243242263794], [""rear"", 0.35363712906837463], [""passenger"", 0.35228487849235535], [""model"", 0.32189667224884033]]"
keybert,9,"displays, display, screen, screens, steering, navigation, hyperscreen, driver, interface, modes","[[""displays"", 0.4967219829559326], [""display"", 0.493816077709198], [""screen"", 0.47915345430374146], [""screens"", 0.4789484143257141], [""steering"", 0.46392935514450073], [""navigation"", 0.4474295973777771], [""hyperscreen"", 0.40559840202331543], [""driver"", 0.35113269090652466], [""interface"", 0.3227997422218323], [""modes"", 0.2943756878376007]]"
keybert,10,"steering, chassis, suspension, rear, driving, turning, driver, axle","[[""steering"", 0.6957181096076965], [""chassis"", 0.3673895001411438], [""suspension"", 0.3258059024810791], [""rear"", 0.31168892979621887], [""driving"", 0.29143664240837097], [""turning"", 0.2906497120857239], [""driver"", 0.2853182554244995], [""axle"", 0.2807999551296234]]"
keybert,11,"drive, driving, driver, driven, car, road, ride, roads, racing, truck","[[""drive"", 0.6442493200302124], [""driving"", 0.6296886205673218], [""driver"", 0.5471348762512207], [""driven"", 0.5013781189918518], [""car"", 0.4724870026111603], [""road"", 0.4154910445213318], [""ride"", 0.3891523778438568], [""roads"", 0.3781242072582245], [""racing"", 0.3703722357749939], [""truck"", 0.37033307552337646]]"
keybert,12,"tires, trd, hybrid, standard, colors, headlights","[[""tires"", 0.3687319755554199], [""trd"", 0.35787004232406616], [""hybrid"", 0.32936495542526245], [""standard"", 0.29602500796318054], [""colors"", 0.28111135959625244], [""headlights"", 0.27633994817733765]]"
keybert,13,"brand, vice, ceo, manager, president, general, director, officer, motor","[[""brand"", 0.4769517183303833], [""vice"", 0.4123763144016266], [""ceo"", 0.39029398560523987], [""manager"", 0.3443474769592285], [""president"", 0.3253888487815857], [""general"", 0.3201056122779846], [""director"", 0.31705617904663086], [""officer"", 0.3169478178024292], [""motor"", 0.3164302408695221]]"
keybert,14,"interiors, interior, leather, materials, design, material, aluminum, wood, model","[[""interiors"", 0.5370337963104248], [""interior"", 0.503921627998352], [""leather"", 0.4519681930541992], [""materials"", 0.4332032799720764], [""design"", 0.40937793254852295], [""material"", 0.4035646319389343], [""aluminum"", 0.3819894790649414], [""wood"", 0.3662933111190796], [""model"", 0.32153719663619995]]"
keybert,15,"model, brand, models, design, new, customers, product, introduce","[[""model"", 0.5856623649597168], [""brand"", 0.5563340187072754], [""models"", 0.4995296001434326], [""design"", 0.3392638564109802], [""new"", 0.33856678009033203], [""customers"", 0.2982378602027893], [""product"", 0.29287615418434143], [""introduce"", 0.2899613380432129]]"
keybert,16,"amg, v8, engine, car, cars, supercar, gt4, coupe, steering, gt3","[[""amg"", 0.6196947693824768], [""v8"", 0.40927672386169434], [""engine"", 0.3577856421470642], [""car"", 0.335055947303772], [""cars"", 0.30805641412734985], [""supercar"", 0.30594533681869507], [""gt4"", 0.2986122965812683], [""coupe"", 0.2879657447338104], [""steering"", 0.2876182198524475], [""gt3"", 0.2815207839012146]]"
keybert,17,"braking, pedal, brake, brakes, driving, slowing, drive, acceleration, motor, vehicle","[[""braking"", 0.5710564851760864], [""pedal"", 0.5314998030662537], [""brake"", 0.4911465644836426], [""brakes"", 0.479486346244812], [""driving"", 0.34778106212615967], [""slowing"", 0.3452811539173126], [""drive"", 0.328752338886261], [""acceleration"", 0.3031061887741089], [""motor"", 0.267119824886322], [""vehicle"", 0.262070894241333]]"
keybert,18,"acoustic, sound, noise, quietness, silent, sounds, ear, exhaust, quiet, quietest","[[""acoustic"", 0.5588704347610474], [""sound"", 0.5465114116668701], [""noise"", 0.4865005314350128], [""quietness"", 0.4021434783935547], [""silent"", 0.36457133293151855], [""sounds"", 0.33817392587661743], [""ear"", 0.33180463314056396], [""exhaust"", 0.32585078477859497], [""quiet"", 0.31357741355895996], [""quietest"", 0.30439242720603943]]"
keybert,19,"lock, locks, trunk, door, opens, tailgate, locked, unlock, lift","[[""lock"", 0.36305946111679077], [""locks"", 0.36216649413108826], [""trunk"", 0.35121411085128784], [""door"", 0.32869386672973633], [""opens"", 0.32576993107795715], [""tailgate"", 0.32099464535713196], [""locked"", 0.3208717107772827], [""unlock"", 0.3195251226425171], [""lift"", 0.31115925312042236]]"
