representation_model,topic,words,weighted_words
mmr,-1,"model, brand, car, new","[[""model"", 0.015822976368342772], [""brand"", 0.014123382372145271], [""car"", 0.012513375251476085], [""new"", 0.011552182388183329]]"
mmr,0,"brand, model, car, new, design","[[""brand"", 0.027681703538412282], [""model"", 0.01954211756960203], [""car"", 0.016143718462422896], [""new"", 0.015968229240598004], [""design"", 0.011200293146305662]]"
mmr,1,"hybrid, engine, horsepower, electric, battery, torque, motor, liter","[[""hybrid"", 0.0314903756382649], [""engine"", 0.02410546298270004], [""horsepower"", 0.021640979535669225], [""electric"", 0.021635012042014783], [""battery"", 0.017752023153564857], [""torque"", 0.015828137649908626], [""motor"", 0.014756651079911674], [""liter"", 0.01421178717615174]]"
mmr,2,"apple, audio, android, carplay, wireless, touchscreen, smartphone, music, navigation","[[""apple"", 0.02164352365073017], [""audio"", 0.02140289232212723], [""android"", 0.02089358548266153], [""carplay"", 0.018812782034201465], [""wireless"", 0.017997706844636387], [""touchscreen"", 0.01591196140449528], [""smartphone"", 0.015798600050126482], [""music"", 0.01376382663109884], [""navigation"", 0.013481673088710873]]"
mmr,3,"rear, grille, led, design, car, look, headlights, lights","[[""rear"", 0.022546145020128968], [""grille"", 0.019568995029933846], [""led"", 0.01877433330601791], [""design"", 0.01830204781234114], [""car"", 0.018140725089138464], [""look"", 0.014168695296458292], [""headlights"", 0.01347693425488312], [""lights"", 0.012739906896033278]]"
mmr,4,"electric, brand, model, ev, new, vehicle, electrified, cars","[[""electric"", 0.04328377858224214], [""brand"", 0.023306336786236], [""model"", 0.017633148848962672], [""ev"", 0.017594989296303685], [""new"", 0.014470134496233139], [""vehicle"", 0.01431197738963562], [""electrified"", 0.011381226981075262], [""cars"", 0.011049945259195266]]"
mmr,5,"assist, safety, lane, parking, traffic, driver, detection, features, cross, braking","[[""assist"", 0.04590708689483973], [""safety"", 0.038150802806136024], [""lane"", 0.031237348051495504], [""parking"", 0.021955314224528732], [""traffic"", 0.01986091044666218], [""driver"", 0.01698749501361796], [""detection"", 0.01600650525630207], [""features"", 0.01558555557829612], [""cross"", 0.015254108531220762], [""braking"", 0.015067233477604056]]"
mmr,6,"charging, charge, stations, level, charger, dc, volt, plug, home","[[""charging"", 0.08621272123635428], [""charge"", 0.04615075508742328], [""stations"", 0.020771475237152094], [""level"", 0.018839264751102026], [""charger"", 0.01863269419959973], [""dc"", 0.017492850961921234], [""volt"", 0.01613554663761237], [""plug"", 0.015618808481137112], [""home"", 0.015344159895976199]]"
mmr,7,filtered_topic_terms_unavailable,"[[""filtered_topic_terms_unavailable"", 0.0]]"
mmr,8,"seats, space, rear, heated, cargo, interior, leather, passengers, trunk","[[""seats"", 0.04760627591831567], [""space"", 0.023464868785613446], [""rear"", 0.022135332020722057], [""heated"", 0.018623409490994596], [""cargo"", 0.016915436989562466], [""interior"", 0.01516705373632033], [""leather"", 0.014138958535533609], [""passengers"", 0.013867770778832238], [""trunk"", 0.012202959739388662]]"
mmr,9,"display, screen, mbux, information, navigation, displays, functions, new, driver","[[""display"", 0.044170931514128826], [""screen"", 0.025093083504464354], [""mbux"", 0.023205721623122916], [""information"", 0.020664679021755363], [""navigation"", 0.016060341043087824], [""displays"", 0.014543902716635398], [""functions"", 0.014109301656785962], [""new"", 0.013823785451400257], [""driver"", 0.012685445023318373]]"
mmr,10,"steering, suspension, driving, rear, control, model, ride, comfort","[[""steering"", 0.046830576055965877], [""suspension"", 0.03016968527921236], [""driving"", 0.015630089846794915], [""rear"", 0.014421170189275348], [""control"", 0.014254315804394417], [""model"", 0.01333383455963996], [""ride"", 0.012546637205946506], [""comfort"", 0.011163768542807399]]"
mmr,11,"drive, driving, car","[[""drive"", 0.04981174483873041], [""driving"", 0.02395177673664658], [""car"", 0.021118396385316943]]"
mmr,12,"black, hybrid, standard, 18, led, trd","[[""black"", 0.04392729070792604], [""hybrid"", 0.022283729908872493], [""standard"", 0.021790083762544262], [""18"", 0.018629413956268215], [""led"", 0.018537989338947437], [""trd"", 0.015925874852181506]]"
mmr,13,"president, brand, vice, chief, manager","[[""president"", 0.042931074930582284], [""brand"", 0.035341772824438546], [""vice"", 0.03064032067606671], [""chief"", 0.01787089758060095], [""manager"", 0.014914050292809063]]"
mmr,14,"interior, carbon, materials, fiber, leather, inside, design, steel","[[""interior"", 0.054991318502534456], [""carbon"", 0.028292766960861703], [""materials"", 0.024223561595505604], [""fiber"", 0.02308112212365404], [""leather"", 0.015572571533886238], [""inside"", 0.014159512344031846], [""design"", 0.012543091743754356], [""steel"", 0.011595149308713986]]"
mmr,15,"model, brand, new, product","[[""model"", 0.04619518118318442], [""brand"", 0.04280503861895464], [""new"", 0.03558904412564609], [""product"", 0.013590815861859598]]"
mmr,16,"amg, gt, supercar, model, performance, racing, brand, gt3, grand, car","[[""amg"", 0.053850298829683084], [""gt"", 0.03359959566876325], [""supercar"", 0.025163193162928896], [""model"", 0.02192935649731661], [""performance"", 0.02079820893411657], [""racing"", 0.01642966229379697], [""brand"", 0.015457728614227565], [""gt3"", 0.012712225342644093], [""grand"", 0.012278003236241852], [""car"", 0.011255640438665549]]"
mmr,17,"pedal, mode, braking, brake, sport, accelerator, energy, drive, comfort, recuperation","[[""pedal"", 0.04697551137926643], [""mode"", 0.04149633467903676], [""braking"", 0.028335006002258818], [""brake"", 0.025014582413424902], [""sport"", 0.02441950214663892], [""accelerator"", 0.021475618426962186], [""energy"", 0.0213648368308963], [""drive"", 0.020752550811340878], [""comfort"", 0.01999544293709566], [""recuperation"", 0.015832437990247434]]"
mmr,18,"sound, noise, quiet, acoustic, wind, engine, silent, quietness","[[""sound"", 0.059533963469326504], [""noise"", 0.04149866909539511], [""quiet"", 0.034015891435489234], [""acoustic"", 0.018448287805721525], [""wind"", 0.014943360568335595], [""engine"", 0.014365470332040177], [""silent"", 0.013902240043229788], [""quietness"", 0.012810525014763062]]"
mmr,19,"door, tailgate, hood, pull, trunk, cover","[[""door"", 0.032290384074058515], [""tailgate"", 0.02992249363286084], [""hood"", 0.021464723872628017], [""pull"", 0.020256848826459072], [""trunk"", 0.019407702185736165], [""cover"", 0.018350426467538174]]"
mmr,20,"brand, proud, cars, excited","[[""brand"", 0.01880446457240746], [""proud"", 0.015741311862331648], [""cars"", 0.015195161200948324], [""excited"", 0.014644813983808055]]"
mmr,21,"auto, brand, season, los, 2015","[[""auto"", 0.05869918195168261], [""brand"", 0.024024084087983143], [""season"", 0.02084565394694158], [""los"", 0.017876242985776537], [""2015"", 0.017024890220468148]]"
mmr,22,"electric, ev, northpoint, vehicles, affordable","[[""electric"", 0.019825136804744594], [""ev"", 0.016864681928817477], [""northpoint"", 0.015637939674940933], [""vehicles"", 0.014729576012709432], [""affordable"", 0.013672738932777873]]"
mmr,23,"class, new, brand, luxury, car, customers, best","[[""class"", 0.13016484593672065], [""new"", 0.03705429553610281], [""brand"", 0.035877301606027034], [""luxury"", 0.01830939416892403], [""car"", 0.015493015128335825], [""customers"", 0.014164849623870301], [""best"", 0.011012442041493176]]"
mmr,24,"china, brand, global, market, plant, chengdu","[[""china"", 0.06000358939401946], [""brand"", 0.04233118973833554], [""global"", 0.027390682846098403], [""market"", 0.026322550410493827], [""plant"", 0.022522087423273544], [""chengdu"", 0.01740684616089139]]"
