representation_model,topic,words,weighted_words
pos,-1,"brand, car, new, drive, design, vehicle, performance, look","[[""brand"", 0.014123382372145271], [""car"", 0.012513375251476085], [""new"", 0.011552182388183329], [""drive"", 0.008115224657845766], [""design"", 0.008011580817804962], [""vehicle"", 0.006319223044316106], [""performance"", 0.005082146324578325], [""look"", 0.0049613794476749745]]"
pos,0,"brand, model, car, new, design, customers, best, sedan","[[""brand"", 0.027681703538412282], [""model"", 0.01954211756960203], [""car"", 0.016143718462422896], [""new"", 0.015968229240598004], [""design"", 0.011200293146305662], [""customers"", 0.009326431426850305], [""best"", 0.008710556937944683], [""sedan"", 0.00846792331506033]]"
pos,1,"hybrid, engine, model, horsepower, electric, battery, torque, range, motor","[[""hybrid"", 0.0314903756382649], [""engine"", 0.02410546298270004], [""model"", 0.022254956922885212], [""horsepower"", 0.021640979535669225], [""electric"", 0.021635012042014783], [""battery"", 0.017752023153564857], [""torque"", 0.015828137649908626], [""range"", 0.01497879859748605], [""motor"", 0.014756651079911674]]"
pos,2,"audio, available, carplay, wireless, touchscreen, smartphone, standard, key","[[""audio"", 0.02140289232212723], [""available"", 0.019797006574848307], [""carplay"", 0.018812782034201465], [""wireless"", 0.017997706844636387], [""touchscreen"", 0.01591196140449528], [""smartphone"", 0.015798600050126482], [""standard"", 0.01481589425864], [""key"", 0.014431201469897244]]"
pos,3,"rear, grille, design, car, light, model, look, headlights, new","[[""rear"", 0.022546145020128968], [""grille"", 0.019568995029933846], [""design"", 0.01830204781234114], [""car"", 0.018140725089138464], [""light"", 0.017785492330272292], [""model"", 0.014484761642415502], [""look"", 0.014168695296458292], [""headlights"", 0.01347693425488312], [""new"", 0.013118671950817302]]"
pos,4,"electric, brand, model, vehicles, new, vehicle, car, cars, future","[[""electric"", 0.04328377858224214], [""brand"", 0.023306336786236], [""model"", 0.017633148848962672], [""vehicles"", 0.01601604993240537], [""new"", 0.014470134496233139], [""vehicle"", 0.01431197738963562], [""car"", 0.013569553279805486], [""cars"", 0.011049945259195266], [""future"", 0.010978441396953994]]"
pos,5,"assist, safety, lane, parking, spot, alert, collision, blind, traffic","[[""assist"", 0.04590708689483973], [""safety"", 0.038150802806136024], [""lane"", 0.031237348051495504], [""parking"", 0.021955314224528732], [""spot"", 0.021611288245559898], [""alert"", 0.021376226249302948], [""collision"", 0.020533435850203393], [""blind"", 0.020320131492548306], [""traffic"", 0.01986091044666218]]"
pos,6,"charging, charge, stations, fast, level, charger, volt, model, plug, station","[[""charging"", 0.08621272123635428], [""charge"", 0.04615075508742328], [""stations"", 0.020771475237152094], [""fast"", 0.019140089668778046], [""level"", 0.018839264751102026], [""charger"", 0.01863269419959973], [""volt"", 0.01613554663761237], [""model"", 0.01583048457718726], [""plug"", 0.015618808481137112], [""station"", 0.015531967036429412]]"
pos,7,filtered_topic_terms_unavailable,"[[""filtered_topic_terms_unavailable"", 0.0]]"
pos,8,"seats, seat, space, rear, heated, cargo, interior, comfort, model","[[""seats"", 0.04760627591831567], [""seat"", 0.037224758806946034], [""space"", 0.023464868785613446], [""rear"", 0.022135332020722057], [""heated"", 0.018623409490994596], [""cargo"", 0.016915436989562466], [""interior"", 0.01516705373632033], [""comfort"", 0.014208787203545735], [""model"", 0.014157602611122285]]"
