representation_model,topic,words,weighted_words
default,-1,"car, new, drive, driving, safety, available, control, standard, highlander, electric","[[""car"", 0.018081676441193587], [""new"", 0.01702849013357667], [""drive"", 0.01640259426193066], [""driving"", 0.01151225776152059], [""safety"", 0.01065134372430365], [""available"", 0.010624623867988394], [""control"", 0.010407105999205484], [""standard"", 0.010177445158676064], [""highlander"", 0.010135620526000219], [""electric"", 0.009913613700590768]]"
default,0,"car, new, vehicle, driving, bmw, design, electric, rear, audi, mercedes","[[""car"", 0.0291263746917472], [""new"", 0.02163115951865683], [""vehicle"", 0.01595547976217073], [""driving"", 0.01581474785840169], [""bmw"", 0.01564674868382956], [""design"", 0.014539497629804922], [""electric"", 0.014417286028629087], [""rear"", 0.0143636426995814], [""audi"", 0.011896051749953587], [""mercedes"", 0.011499386499358088]]"
default,1,"world, product, customers, need, new, technology, different, products, life, little","[[""world"", 0.028485081636568474], [""product"", 0.024371186713255503], [""customers"", 0.02407961332023962], [""need"", 0.022516667954401094], [""new"", 0.01963748474280585], [""technology"", 0.01739128433691055], [""different"", 0.017253447387749504], [""products"", 0.01621392800020929], [""life"", 0.016189243464237016], [""little"", 0.01584002987042208]]"
default,2,"charging, charge, battery, range, fast, charger, minutes, level, volt, dc","[[""charging"", 0.10603387534753538], [""charge"", 0.07152506468413239], [""battery"", 0.057526420293949505], [""range"", 0.04048062774356885], [""fast"", 0.03244782407292423], [""charger"", 0.030807224220701614], [""minutes"", 0.027011405326071925], [""level"", 0.025600868099864338], [""volt"", 0.023734664903840894], [""dc"", 0.022740139554051242]]"
default,3,"interior, design, beautiful, modern, materials, designers, luxury, look, inside, sculpture","[[""interior"", 0.097360352928627], [""design"", 0.06729968936851978], [""beautiful"", 0.029496915122662413], [""modern"", 0.02784130464302306], [""materials"", 0.02741191420927789], [""designers"", 0.025318476919907188], [""luxury"", 0.02368355961210856], [""look"", 0.023362975286033545], [""inside"", 0.023266455943591516], [""sculpture"", 0.022686566414041064]]"
default,4,"seats, seat, leather, space, cargo, rear seats, rear, heated, cubic, cubic feet","[[""seats"", 0.11621834032328854], [""seat"", 0.0711118606008414], [""leather"", 0.04182039301365594], [""space"", 0.04151581372982908], [""cargo"", 0.04108668627151104], [""rear seats"", 0.03989084743564435], [""rear"", 0.03786949452315592], [""heated"", 0.032281248452075556], [""cubic"", 0.02984575778804218], [""cubic feet"", 0.02984575778804218]]"
default,5,"display, navigation, screen, touchscreen, information, center, 12, console, head display, digital","[[""display"", 0.0895202833025525], [""navigation"", 0.05302937827104962], [""screen"", 0.0519985166549291], [""touchscreen"", 0.048398798622635755], [""information"", 0.032941931529368196], [""center"", 0.03206575193720628], [""12"", 0.03141176521550681], [""console"", 0.029482249275199716], [""head display"", 0.028511952879042207], [""digital"", 0.027268566491125298]]"
default,6,"horsepower, engine, torque, liter, motor, cylinder, power, electric, cylinder engine, electric motor","[[""horsepower"", 0.11328153389960023], [""engine"", 0.08552369883048908], [""torque"", 0.08442772525931669], [""liter"", 0.06633974582901231], [""motor"", 0.04254611967882642], [""cylinder"", 0.04185900825364916], [""power"", 0.04185564771817948], [""electric"", 0.034837978109796], [""cylinder engine"", 0.031639659935489325], [""electric motor"", 0.030885082351432624]]"
default,7,"ioniq, hyundai, charging, safety, new, electric, platform, assist, space, egmp","[[""ioniq"", 0.1880330087729768], [""hyundai"", 0.06788214720906885], [""charging"", 0.032096331550236765], [""safety"", 0.025803674071137477], [""new"", 0.024413869966937896], [""electric"", 0.023816746953452372], [""platform"", 0.022863098870155855], [""assist"", 0.021775088169273656], [""space"", 0.020706530181950213], [""egmp"", 0.02051151235603546]]"
default,8,"rav4, rav4 prime, prime, hybrid, trd, available, toyota, road, grade, plug hybrid","[[""rav4"", 0.15796818951946232], [""rav4 prime"", 0.058586436980463986], [""prime"", 0.051425290396988906], [""hybrid"", 0.04887137222471032], [""trd"", 0.04352017030992336], [""available"", 0.028861957440568527], [""toyota"", 0.02707247650067557], [""road"", 0.026996160957635015], [""grade"", 0.025733931575467512], [""plug hybrid"", 0.02555477176270346]]"
default,9,"prius, prius prime, prime, hybrid, toyota, efficiency, plug, plug hybrid, prius plug, efficient","[[""prius"", 0.2217456794163278], [""prius prime"", 0.07091192681572175], [""prime"", 0.06266379098734799], [""hybrid"", 0.03862182854613327], [""toyota"", 0.02510783451608267], [""efficiency"", 0.024809360056269547], [""plug"", 0.024270305626755424], [""plug hybrid"", 0.023083074672945732], [""prius plug"", 0.020691962761380446], [""efficient"", 0.02055961963102432]]"
default,10,"camry, toyota, safety, trd, safety sense, toyota safety, drive, available, prius, camry trd","[[""camry"", 0.16727393995865086], [""toyota"", 0.06842201125210814], [""safety"", 0.043999524786648384], [""trd"", 0.0338908846961895], [""safety sense"", 0.024225390108529764], [""toyota safety"", 0.024013945809158485], [""drive"", 0.022253809624556403], [""available"", 0.021709726647880945], [""prius"", 0.021621348843583778], [""camry trd"", 0.02117297788720504]]"
