representation_model,topic,words,weighted_words
default,-1,"car, new, vehicle, driving, drive, electric, range, polestar, fuel, mode","[[""car"", 0.029146616280386294], [""new"", 0.027252765941494263], [""vehicle"", 0.01805161220502458], [""driving"", 0.01790116013525872], [""drive"", 0.01746085407278738], [""electric"", 0.01743684495138254], [""range"", 0.014383507430744125], [""polestar"", 0.013121864538758845], [""fuel"", 0.012671074625322935], [""mode"", 0.012341052649997204]]"
default,0,"new, car, design, cars, hyundai, vehicle, electric, volvo, audi, lexus","[[""new"", 0.04337269510623558], [""car"", 0.03756406656176715], [""design"", 0.02202343085575184], [""cars"", 0.018430968308908977], [""hyundai"", 0.017229661363527566], [""vehicle"", 0.01700810903532147], [""electric"", 0.01674558981195663], [""volvo"", 0.01663768189034738], [""audi"", 0.016288879067361248], [""lexus"", 0.016115610678825165]]"
default,1,"interior, rear, car, steering, design, led, light, high, dynamic, carbon","[[""interior"", 0.04652010158962343], [""rear"", 0.03202119815797661], [""car"", 0.028695259433889488], [""steering"", 0.027917578626838885], [""design"", 0.026951896906324855], [""led"", 0.024434883226326067], [""light"", 0.023699461822004667], [""high"", 0.021975201932351238], [""dynamic"", 0.021404119579291694], [""carbon"", 0.020573804061300008]]"
default,2,"seat, seats, rear, storage, cargo, space, trunk, door, open, passenger","[[""seat"", 0.07573583402753922], [""seats"", 0.07223093492372204], [""rear"", 0.05586555423489909], [""storage"", 0.05301854891346009], [""cargo"", 0.05269629387863566], [""space"", 0.05187813488108501], [""trunk"", 0.047749736984114693], [""door"", 0.04727084206441306], [""open"", 0.036493077140842746], [""passenger"", 0.03349343946475386]]"
default,3,"display, navigation, screen, information, destination, apple, apple carplay, carplay, smartphone, touchscreen","[[""display"", 0.08251766962091961], [""navigation"", 0.06400963289573926], [""screen"", 0.05729747241264764], [""information"", 0.04182182263225793], [""destination"", 0.036595464976518687], [""apple"", 0.035001021414854], [""apple carplay"", 0.03306977402690294], [""carplay"", 0.03288492742410656], [""smartphone"", 0.032817913405613616], [""touchscreen"", 0.02955000284440276]]"
default,4,"horsepower, engine, torque, liter, cylinder, gallon, fuel, electric, motor, power","[[""horsepower"", 0.1091482235665486], [""engine"", 0.10490343123966872], [""torque"", 0.0742473964369456], [""liter"", 0.06003566241312229], [""cylinder"", 0.0585984475115055], [""gallon"", 0.04747174047383852], [""fuel"", 0.04219160050848926], [""electric"", 0.03916776929736162], [""motor"", 0.03551243477775708], [""power"", 0.035092140634463524]]"
default,5,"lane, blind, traffic, brake, spot, blind spot, collision, braking, assist, detection","[[""lane"", 0.06864281944164664], [""blind"", 0.06271999078527744], [""traffic"", 0.05900068372480969], [""brake"", 0.0586584093410435], [""spot"", 0.05844857445853503], [""blind spot"", 0.057127565468134744], [""collision"", 0.05476137826012224], [""braking"", 0.05460769075175268], [""assist"", 0.05427336244186644], [""detection"", 0.048523419492297645]]"
default,6,"charging, charge, vehicle, stations, plug, indicates, charging stations, displayed, cable, charger","[[""charging"", 0.14798813805972805], [""charge"", 0.07113659741785806], [""vehicle"", 0.06617091869568771], [""stations"", 0.05311360997292778], [""plug"", 0.04268195845071483], [""indicates"", 0.037743079593898804], [""charging stations"", 0.03656967682468157], [""displayed"", 0.035060019194438165], [""cable"", 0.034990586693952525], [""charger"", 0.0341316983697028]]"
default,7,"battery, lithium, batteries, pack, battery pack, lithium ion, ion, energy, electric, iron","[[""battery"", 0.18264374157677093], [""lithium"", 0.07809364026966684], [""batteries"", 0.06293926025704566], [""pack"", 0.05900535770301928], [""battery pack"", 0.057768849233076534], [""lithium ion"", 0.056333988176310995], [""ion"", 0.056333988176310995], [""energy"", 0.05174866830343304], [""electric"", 0.04503142615441122], [""iron"", 0.035957476735218236]]"
default,8,"infiniti, q50, infinity, new, brand, johan, performance, market, design, sedan","[[""infiniti"", 0.23658543690832814], [""q50"", 0.16706690993035983], [""infinity"", 0.09317088829492534], [""new"", 0.056627559209686235], [""brand"", 0.056108918163640234], [""johan"", 0.04221379071818777], [""performance"", 0.03931062762844462], [""market"", 0.037154830290765085], [""design"", 0.026175370370340574], [""sedan"", 0.02602117196368581]]"
