representation_model,topic,words,weighted_words
POS,-1,"car, new, vehicle, fuel, power, design, performance, air","[[""car"", 0.018150366037422677], [""new"", 0.01690645062715167], [""vehicle"", 0.010598429290385377], [""fuel"", 0.007075713192911754], [""power"", 0.006522882471727626], [""design"", 0.00647488810412279], [""performance"", 0.006124445987128118], [""air"", 0.006105053179596497]]"
POS,0,"new, car, cars, vehicle, hybrid, technology","[[""new"", 0.025123111202105024], [""car"", 0.02184162784392812], [""cars"", 0.009749909451861704], [""vehicle"", 0.009323880526706442], [""hybrid"", 0.008525494913945933], [""technology"", 0.008202667452626664]]"
POS,1,"interior, rear, car, design, steering, dynamic, new","[[""interior"", 0.02761547428846576], [""rear"", 0.019223178883355153], [""car"", 0.01891458607247903], [""design"", 0.016538422033904297], [""steering"", 0.016299150952283986], [""dynamic"", 0.012390402946190532], [""new"", 0.011736089298788195]]"
POS,2,"seat, seats, rear, space, storage, cargo, door, trunk","[[""seat"", 0.04034223008164197], [""seats"", 0.03827754119992917], [""rear"", 0.030831428480691824], [""space"", 0.027810023434277787], [""storage"", 0.027636615949133848], [""cargo"", 0.027489594690248677], [""door"", 0.025088695794997836], [""trunk"", 0.024840947764968563]]"
POS,3,"display, navigation, screen, information, destination, smartphone, available, touch","[[""display"", 0.05236509916818308], [""navigation"", 0.03980720986537353], [""screen"", 0.03570623969285499], [""information"", 0.02629984885007522], [""destination"", 0.02232962197181128], [""smartphone"", 0.020101123268424094], [""available"", 0.01802816492983169], [""touch"", 0.017430804691893856]]"
POS,4,"horsepower, engine, torque, liter, cylinder, gallon, fuel, electric, power","[[""horsepower"", 0.07996877097604078], [""engine"", 0.07928196500201161], [""torque"", 0.05417189078303873], [""liter"", 0.04360211937926283], [""cylinder"", 0.04223467811372856], [""gallon"", 0.03395164263388405], [""fuel"", 0.03164058478184633], [""electric"", 0.030452965266703817], [""power"", 0.026578757344336616]]"
POS,5,"lane, blind, traffic, brake, spot, braking, assist, collision, detection","[[""lane"", 0.049243788217823554], [""blind"", 0.04449397479347888], [""traffic"", 0.042528107759177466], [""brake"", 0.042081055386140126], [""spot"", 0.04159765660775052], [""braking"", 0.039086686107139425], [""assist"", 0.03899532605608003], [""collision"", 0.03871025344286262], [""detection"", 0.03423449538311294]]"
POS,6,"charging, charge, vehicle, stations, plug, car, cable, charger, display, light","[[""charging"", 0.10093447802272222], [""charge"", 0.04773354223293534], [""vehicle"", 0.04754654439997432], [""stations"", 0.03463320151053969], [""plug"", 0.028640125339761208], [""car"", 0.024537742180477825], [""cable"", 0.022499018853173423], [""charger"", 0.022007116587707706], [""display"", 0.02177623320497911], [""light"", 0.02136396986656972]]"
POS,7,"battery, lithium, batteries, pack, ion, energy, electric, car, iron, engine","[[""battery"", 0.11567904835253127], [""lithium"", 0.04696848617196686], [""batteries"", 0.03758926668337851], [""pack"", 0.03550507886654082], [""ion"", 0.03370409047972677], [""energy"", 0.031655235303993425], [""electric"", 0.02949826518035225], [""car"", 0.024222644825071724], [""iron"", 0.021170278307567184], [""engine"", 0.020434540670179205]]"
POS,8,"infinity, new, brand, performance, market, design, technology, premium","[[""infinity"", 0.0525593807651686], [""new"", 0.03721138147754676], [""brand"", 0.03332678419997279], [""performance"", 0.023419812522094897], [""market"", 0.021780448419750915], [""design"", 0.016073639502169293], [""technology"", 0.014556633007274831], [""premium"", 0.013670909709141263]]"
