Topic,Count,Name,ratio
-1,1949,-1_new_drive_car_mercedes,0.2679406103931812
0,1745,0_car_kia_driving_assist,0.23989551828430025
1,588,1_led_interior_light_black,0.08083585372559803
2,375,2_charging_charge_range_battery,0.05155347814132527
3,354,3_product_world_excited_new,0.04866648336541105
4,306,4_seats_seat_space_heated,0.042067638163321416
5,253,5_prius_highlander_prius prime_hybrid,0.03478141325268078
6,227,6_amg_eqs_eqe_mercedes,0.031207038768215564
7,206,7_rav4_rav4 prime_prime_standard,0.02832004399230135
8,189,8_ioniq_hyundai_charging_fast,0.025982952983227937
9,188,9_apple_carplay_apple carplay_music,0.025845477041517736
10,159,10_display_screen_12_information,0.021858674731921914
11,150,11_corolla_safety_assist_lane,0.020621391256530106
12,138,12_bmw_tour_grand_series,0.0189716799560077
13,123,13_design_art_beautiful_reason,0.01690954083035469
14,123,14_crown_toyota crown_toyota_japan,0.01690954083035469
15,101,15_camry_trd_nightshade_black,0.013885070112730272
16,100,16_warranty_maintenance_hybrid_roadside,0.013747594171020072
