representation_model,topic,words,weighted_words
KeyBERT,-1,"android, services, experience, hybrid","[[""android"", 0.15925006568431854], [""services"", 0.15016478300094604], [""experience"", 0.09708830714225769], [""hybrid"", 0.084755539894104]]"
KeyBERT,0,"steering, vehicle, vehicles, driving, drive, car, braking, cars, driver","[[""steering"", 0.49692684412002563], [""vehicle"", 0.46424952149391174], [""vehicles"", 0.46090954542160034], [""driving"", 0.45697087049484253], [""drive"", 0.3926224708557129], [""car"", 0.37323200702667236], [""braking"", 0.37165018916130066], [""cars"", 0.3564579486846924], [""driver"", 0.3546733260154724]]"
KeyBERT,1,"headlights, lighting, aerodynamics, aerodynamic, led, rear, vehicle, lights, design","[[""headlights"", 0.5562777519226074], [""lighting"", 0.41561180353164673], [""aerodynamics"", 0.3595811724662781], [""aerodynamic"", 0.34990790486335754], [""led"", 0.34790027141571045], [""rear"", 0.3366435766220093], [""vehicle"", 0.33297860622406006], [""lights"", 0.329789400100708], [""design"", 0.3261449933052063]]"
KeyBERT,2,"charging, charge, charger, recharge, chargers, battery, electric, plug, ev, volt","[[""charging"", 0.620415449142456], [""charge"", 0.5535163283348083], [""charger"", 0.5153338313102722], [""recharge"", 0.43937042355537415], [""chargers"", 0.34047311544418335], [""battery"", 0.2926020324230194], [""electric"", 0.26125410199165344], [""plug"", 0.2248154729604721], [""ev"", 0.22098618745803833], [""volt"", 0.2077128142118454]]"
KeyBERT,3,"proud, excited","[[""proud"", 0.26971229910850525], [""excited"", 0.2614370584487915]]"
KeyBERT,4,"seats, seating, seat, passengers, comfortable, rear, cabin, comfort, passenger, trunk","[[""seats"", 0.5366161465644836], [""seating"", 0.4652796685695648], [""seat"", 0.45624107122421265], [""passengers"", 0.40610039234161377], [""comfortable"", 0.36480802297592163], [""rear"", 0.355230450630188], [""cabin"", 0.34743690490722656], [""comfort"", 0.3319482207298279], [""passenger"", 0.32203930616378784], [""trunk"", 0.3182569146156311]]"
KeyBERT,5,"prius, toyota, hybrid, prime, efficiency, convenience, vehicle, efficient, suv, drive","[[""prius"", 0.6577552556991577], [""toyota"", 0.43672776222229004], [""hybrid"", 0.43459832668304443], [""prime"", 0.3359643220901489], [""efficiency"", 0.2635703682899475], [""convenience"", 0.22386229038238525], [""vehicle"", 0.19370631873607635], [""efficient"", 0.18921101093292236], [""suv"", 0.18873895704746246], [""drive"", 0.1847633421421051]]"
KeyBERT,6,"eqs, eqe, eq, amg, mercedes, car, electric, benz, coupe, luxury","[[""eqs"", 0.5386812090873718], [""eqe"", 0.5139123201370239], [""eq"", 0.4878583252429962], [""amg"", 0.46832114458084106], [""mercedes"", 0.43300631642341614], [""car"", 0.2888125777244568], [""electric"", 0.286914587020874], [""benz"", 0.26322752237319946], [""coupe"", 0.25900474190711975], [""luxury"", 0.22727015614509583]]"
KeyBERT,7,"rav4, toyota, hybrid, ev, multimedia, drivers, compatibility, suv, audio, vehicle","[[""rav4"", 0.5919322967529297], [""toyota"", 0.513318657875061], [""hybrid"", 0.40819501876831055], [""ev"", 0.3867149353027344], [""multimedia"", 0.34852463006973267], [""drivers"", 0.32340002059936523], [""compatibility"", 0.31857600808143616], [""suv"", 0.313915491104126], [""audio"", 0.3039233386516571], [""vehicle"", 0.30023640394210815]]"
KeyBERT,8,"ioniq, hyundai, id4, ev, vehicle, electric, interior, egmp, 2025, charge","[[""ioniq"", 0.6456031799316406], [""hyundai"", 0.4822138845920563], [""id4"", 0.36995047330856323], [""ev"", 0.36453086137771606], [""vehicle"", 0.2900488078594208], [""electric"", 0.23387223482131958], [""interior"", 0.21733905375003815], [""egmp"", 0.20692455768585205], [""2025"", 0.19818061590194702], [""charge"", 0.19697146117687225]]"
