representation_model,topic,words,weighted_words
MMR,-1,"car, drive","[[""car"", 0.01299642529829925], [""drive"", 0.012799060574615722]]"
MMR,0,"car, kia, driving, vehicle, assist, electric, ev6","[[""car"", 0.022066609595180423], [""kia"", 0.015875821837817206], [""driving"", 0.014669632527037077], [""vehicle"", 0.012683591721670355], [""assist"", 0.01248152752061915], [""electric"", 0.011874874263386473], [""ev6"", 0.011646229075147894]]"
MMR,1,"led, interior, black, design, lighting, roof, car, grille","[[""led"", 0.024290210227841946], [""interior"", 0.02114412820578503], [""black"", 0.020109467013224833], [""design"", 0.018578048305192964], [""lighting"", 0.01715480508608085], [""roof"", 0.016087555459559356], [""car"", 0.015407293569028825], [""grille"", 0.01471918743866944]]"
MMR,2,"charging, charge, battery, level, minutes, fast, route, charger, electric","[[""charging"", 0.08425745664788968], [""charge"", 0.0602573440124786], [""battery"", 0.03457427961156204], [""level"", 0.023159596934225486], [""minutes"", 0.020910222375566282], [""fast"", 0.02010122991277364], [""route"", 0.016533116746258368], [""charger"", 0.015744099930586664], [""electric"", 0.015088270912052143]]"
MMR,3,filtered_topic_terms_unavailable,"[[""filtered_topic_terms_unavailable"", 0.0]]"
MMR,4,"seats, seat, space, rear, cargo, cubic, passengers, comfortable, split, standard","[[""seats"", 0.0759009213360469], [""seat"", 0.05040340191794734], [""space"", 0.03757396139924704], [""rear"", 0.029834493802441645], [""cargo"", 0.02429653826575586], [""cubic"", 0.022011459351573424], [""passengers"", 0.02161614347898889], [""comfortable"", 0.02101317428141566], [""split"", 0.01741593071541464], [""standard"", 0.01687283837146417]]"
MMR,5,"prius, highlander, hybrid, toyota, prime, drive, efficiency","[[""prius"", 0.10558419795034932], [""highlander"", 0.055730837822866676], [""hybrid"", 0.034556179548926064], [""toyota"", 0.03244468444373172], [""prime"", 0.031583171741845675], [""drive"", 0.022368856141641396], [""efficiency"", 0.01619964547408081]]"
MMR,6,"amg, eqs, eqe, mercedes, sl, eq, electric","[[""amg"", 0.0722490227915853], [""eqs"", 0.06908161211907346], [""eqe"", 0.03963532201074727], [""mercedes"", 0.0350104788103511], [""sl"", 0.025725619410546335], [""eq"", 0.0202334027154852], [""electric"", 0.01540207316944803]]"
MMR,7,"rav4, standard, prime, hybrid, toyota, audio, highlander, plug, touchscreen, trd","[[""rav4"", 0.1059370595046939], [""standard"", 0.03748755080148055], [""prime"", 0.036796944273231075], [""hybrid"", 0.03600960446985278], [""toyota"", 0.033557743074393305], [""audio"", 0.025365665794035635], [""highlander"", 0.02087065424075961], [""plug"", 0.02064649030967918], [""touchscreen"", 0.01925807168552845], [""trd"", 0.018489860233930934]]"
MMR,8,"ioniq, hyundai, charging, fast, electric, platform, space, ultra, egmp","[[""ioniq"", 0.14153376513610538], [""hyundai"", 0.05033007565777813], [""charging"", 0.03645116967180049], [""fast"", 0.021914234012135374], [""electric"", 0.021260790277899847], [""platform"", 0.01535189901651566], [""space"", 0.01480457703039077], [""ultra"", 0.014590463024763141], [""egmp"", 0.014520935711497674]]"
