representation_model,topic,words,weighted_words
POS,-1,"new, car, drive, available, electric, design, vehicle","[[""new"", 0.014290137813650447], [""car"", 0.01299642529829925], [""drive"", 0.012799060574615722], [""available"", 0.010265861001004246], [""electric"", 0.008490897707122008], [""design"", 0.008031404779252902], [""vehicle"", 0.007009538469424873]]"
POS,0,"car, driving, vehicle, assist, electric, steering, new, drive, features","[[""car"", 0.022066609595180423], [""driving"", 0.014669632527037077], [""vehicle"", 0.012683591721670355], [""assist"", 0.01248152752061915], [""electric"", 0.011874874263386473], [""steering"", 0.010912369961240065], [""new"", 0.010841088477107751], [""drive"", 0.0104082218286225], [""features"", 0.008669412998262328]]"
POS,1,"interior, black, light, rear, design, lighting, roof, look","[[""interior"", 0.02114412820578503], [""black"", 0.020109467013224833], [""light"", 0.019986569847691326], [""rear"", 0.01942542740004201], [""design"", 0.018578048305192964], [""lighting"", 0.01715480508608085], [""roof"", 0.016087555459559356], [""look"", 0.0159431806201961]]"
POS,2,"charging, charge, range, battery, level, minutes, fast, home, plug, route","[[""charging"", 0.08425745664788968], [""charge"", 0.0602573440124786], [""range"", 0.03522099567620695], [""battery"", 0.03457427961156204], [""level"", 0.023159596934225486], [""minutes"", 0.020910222375566282], [""fast"", 0.02010122991277364], [""home"", 0.01942854726968684], [""plug"", 0.017406861162663465], [""route"", 0.016533116746258368]]"
POS,3,"excited, customer, customers, point","[[""excited"", 0.011128131034645175], [""customer"", 0.008988815740888289], [""customers"", 0.008919112866475553], [""point"", 0.008538251703069091]]"
POS,4,"seats, seat, space, heated, rear, comfort, cargo, cubic, passengers","[[""seats"", 0.0759009213360469], [""seat"", 0.05040340191794734], [""space"", 0.03757396139924704], [""heated"", 0.03635258727222844], [""rear"", 0.029834493802441645], [""comfort"", 0.025699604893759987], [""cargo"", 0.02429653826575586], [""cubic"", 0.022011459351573424], [""passengers"", 0.02161614347898889]]"
POS,5,"hybrid, drive, efficiency, available, performance, efficient, drivers","[[""hybrid"", 0.034556179548926064], [""drive"", 0.022368856141641396], [""efficiency"", 0.01619964547408081], [""available"", 0.015436381650036872], [""performance"", 0.015049829301763842], [""efficient"", 0.014002565307372575], [""drivers"", 0.013932709455716669]]"
POS,6,"new, electric, line, performance, car, air, specific, design","[[""new"", 0.027000796536002705], [""electric"", 0.01540207316944803], [""line"", 0.014232721200501106], [""performance"", 0.014230805876002055], [""car"", 0.014161767118497846], [""air"", 0.011865198026522392], [""specific"", 0.011185051917628842], [""design"", 0.01030067659974938]]"
POS,7,"standard, hybrid, available, audio, multimedia, road, plug, features","[[""standard"", 0.03748755080148055], [""hybrid"", 0.03600960446985278], [""available"", 0.035166375806502066], [""audio"", 0.025365665794035635], [""multimedia"", 0.025343629980812573], [""road"", 0.021983815716255066], [""plug"", 0.02064649030967918], [""features"", 0.0200332767202511]]"
POS,8,"charging, new, fast, electric, platform, space, ultra, design, interior","[[""charging"", 0.03645116967180049], [""new"", 0.022024064435541245], [""fast"", 0.021914234012135374], [""electric"", 0.021260790277899847], [""platform"", 0.01535189901651566], [""space"", 0.01480457703039077], [""ultra"", 0.014590463024763141], [""design"", 0.014070785605008247], [""interior"", 0.012989250814613839]]"
