representation_model,topic,words,weighted_words
default,-1,"car, new, vehicle, driving, drive, electric, fuel, design, accord, toyota","[[""car"", 0.023187269784982267], [""new"", 0.0203293692964966], [""vehicle"", 0.016429442678184306], [""driving"", 0.011983346745693789], [""drive"", 0.011937736210625952], [""electric"", 0.0118584973639018], [""fuel"", 0.010619842388426249], [""design"", 0.010377986491090898], [""accord"", 0.010105409771497808], [""toyota"", 0.009901133657137772]]"
default,0,"new, car, bmw, design, lexus, cars, volvo, customers, world, series","[[""new"", 0.030740993983772922], [""car"", 0.028435619700316113], [""bmw"", 0.026242413104047825], [""design"", 0.020919002133316773], [""lexus"", 0.01702590009920332], [""cars"", 0.015628528211706648], [""volvo"", 0.015429564972540565], [""customers"", 0.0144798099841659], [""world"", 0.013532442322461568], [""series"", 0.013283170472460049]]"
default,1,"rear, steering, suspension, speed, car, transmission, aerodynamics, drive, air, line","[[""rear"", 0.046700638363971], [""steering"", 0.037281127285563084], [""suspension"", 0.0278051256538855], [""speed"", 0.0250263662715968], [""car"", 0.024293233078454338], [""transmission"", 0.02219531296312109], [""aerodynamics"", 0.018581316576775985], [""drive"", 0.01843281778963465], [""air"", 0.017679873100974148], [""line"", 0.017596463739565363]]"
default,2,"electric, engine, horsepower, torque, power, liter, cylinder, battery, motor, car","[[""electric"", 0.06728158669603186], [""engine"", 0.05269796135289033], [""horsepower"", 0.048418027880664655], [""torque"", 0.03898787168435549], [""power"", 0.03091029487988367], [""liter"", 0.026902723062744417], [""cylinder"", 0.025176143918663275], [""battery"", 0.024421355272146977], [""motor"", 0.023363074044823778], [""car"", 0.019350178260788397]]"
default,3,"seat, seats, door, cargo, trunk, rear, space, storage, leather, carbon","[[""seat"", 0.05563624246233562], [""seats"", 0.048352185429773674], [""door"", 0.04052975251055473], [""cargo"", 0.036588497824381234], [""trunk"", 0.03388855830490261], [""rear"", 0.033299439819858556], [""space"", 0.03281716368139283], [""storage"", 0.031180983668677515], [""leather"", 0.03066794498191678], [""carbon"", 0.030653716139505398]]"
default,4,"display, navigation, screen, voice, phone, carplay, apple, android, information, apple carplay","[[""display"", 0.052294229508632675], [""navigation"", 0.05130246126661462], [""screen"", 0.046180684015228485], [""voice"", 0.040175656807123], [""phone"", 0.03252061900460705], [""carplay"", 0.029631098474373927], [""apple"", 0.027622573716351788], [""android"", 0.027243139708748344], [""information"", 0.025296168582735007], [""apple carplay"", 0.024910564490482807]]"
default,5,"lane, assist, mode, braking, brake, blind, traffic, blind spot, spot, collision","[[""lane"", 0.051593923364606345], [""assist"", 0.0466831642542357], [""mode"", 0.0398209259595894], [""braking"", 0.03980751400034654], [""brake"", 0.036870263934272035], [""blind"", 0.03624828283646895], [""traffic"", 0.03561592547346415], [""blind spot"", 0.03353732102290802], [""spot"", 0.03343294319708763], [""collision"", 0.03222069585463907]]"
default,6,"charging, charge, taycan, charger, stations, charging stations, station, volt, charging station, battery","[[""charging"", 0.1434330556334973], [""charge"", 0.0778535644572902], [""taycan"", 0.0667416902897783], [""charger"", 0.044114369641526374], [""stations"", 0.0431073855146156], [""charging stations"", 0.03781362879756156], [""station"", 0.036338842413147714], [""volt"", 0.033084284420444116], [""charging station"", 0.03282326624312167], [""battery"", 0.03260592486248015]]"
default,7,"led, grille, light, lights, headlights, kidney, tail, rear, design, laser","[[""led"", 0.0875159963184646], [""grille"", 0.06874081362047028], [""light"", 0.06360340611388168], [""lights"", 0.06047355881106973], [""headlights"", 0.055667371416682425], [""kidney"", 0.04160893596905877], [""tail"", 0.03656542857886983], [""rear"", 0.030951809060012384], [""design"", 0.029756725659632614], [""laser"", 0.029663203187998862]]"
default,8,"interior, materials, design, colors, color, inside, surfaces, orange, premium, beautiful","[[""interior"", 0.1418261004211662], [""materials"", 0.046524647425046424], [""design"", 0.03522869300697062], [""colors"", 0.031021324566457092], [""color"", 0.027310650250660012], [""inside"", 0.025749861769541367], [""surfaces"", 0.02437827965118368], [""orange"", 0.02374168826391982], [""premium"", 0.023108981508566006], [""beautiful"", 0.02296372750772711]]"
default,9,"sonata, hyundai, kia, hyundai sonata, warranty, new, 2018, 2018 hyundai, 2020, fleet","[[""sonata"", 0.14502168176210206], [""hyundai"", 0.13093442360100158], [""kia"", 0.05871604142313422], [""hyundai sonata"", 0.05520145522517696], [""warranty"", 0.03073940826577883], [""new"", 0.027522610633159715], [""2018"", 0.027139040992185375], [""2018 hyundai"", 0.026372336721234377], [""2020"", 0.024136373866692845], [""fleet"", 0.022737207229969705]]"
default,10,"audi, tron, q5, a7, audi tron, a3, a8, quattro, a6, electric","[[""audi"", 0.21609563077827765], [""tron"", 0.08638500216990339], [""q5"", 0.04344240429849196], [""a7"", 0.04261066441822134], [""audi tron"", 0.039764740505025424], [""a3"", 0.038502285779694286], [""a8"", 0.03832524407930002], [""quattro"", 0.038055608140768804], [""a6"", 0.03751844007597033], [""electric"", 0.02961904099030854]]"
default,11,"elantra, elr, new elantra, hyundai, genesis, hyundai elantra, new, generation, brand, compact","[[""elantra"", 0.2288544309434844], [""elr"", 0.060852122810281746], [""new elantra"", 0.05713533398791028], [""hyundai"", 0.056930783087398455], [""genesis"", 0.044953266379878364], [""hyundai elantra"", 0.042587304991463716], [""new"", 0.037833381930236235], [""generation"", 0.03232251129894303], [""brand"", 0.027956163482526893], [""compact"", 0.02538145525281111]]"
default,12,"hour, range, kilometers, seconds, speed, electric, 100, 60, km, battery","[[""hour"", 0.10730960000174486], [""range"", 0.09692752366774243], [""kilometers"", 0.0749477429833134], [""seconds"", 0.07076405083150708], [""speed"", 0.05438293450492569], [""electric"", 0.054023901066816406], [""100"", 0.049920093972000444], [""60"", 0.03866354824402287], [""km"", 0.03451326182802556], [""battery"", 0.03308515836854575]]"
default,13,"nissan, leaf, nissan leaf, new nissan, altima, new, nissan intelligent, intelligent, new altima, ev","[[""nissan"", 0.21150491977698566], [""leaf"", 0.1710586982338143], [""nissan leaf"", 0.11333168667378153], [""new nissan"", 0.08534157782862609], [""altima"", 0.07899272720330364], [""new"", 0.051430889036683906], [""nissan intelligent"", 0.04581087684305083], [""intelligent"", 0.04064548822198247], [""new altima"", 0.037129105749032484], [""ev"", 0.03646559644908953]]"
default,14,"polestar, electric, car, brand, electric car, volvo, polestar brand, performance, customer, pure","[[""polestar"", 0.3890095052541394], [""electric"", 0.04517182220638201], [""car"", 0.03958800346328428], [""brand"", 0.037025690309669464], [""electric car"", 0.03254192674902833], [""volvo"", 0.0322791479181968], [""polestar brand"", 0.025819394675486045], [""performance"", 0.025682506303348066], [""customer"", 0.02470351812690197], [""pure"", 0.022479603439450383]]"
default,15,"nsx, acura, nx, supercar, new, cx, cx 30, standard, brand, 30","[[""nsx"", 0.14280784455364773], [""acura"", 0.13047295903144665], [""nx"", 0.06374102406626865], [""supercar"", 0.05414620443330144], [""new"", 0.03556109579799843], [""cx"", 0.02750459697711438], [""cx 30"", 0.02750459697711438], [""standard"", 0.025671112682350197], [""brand"", 0.02398993092233368], [""30"", 0.0233499862025243]]"
default,16,"infiniti, q50, infinity, brand, new, market, performance, johan, globally, future","[[""infiniti"", 0.21662217803362147], [""q50"", 0.15476562267439709], [""infinity"", 0.0825096113150753], [""brand"", 0.04826716640661148], [""new"", 0.04436415467626457], [""market"", 0.03274053370509701], [""performance"", 0.032455146390030803], [""johan"", 0.030215182154789598], [""globally"", 0.024275447556914145], [""future"", 0.021185051220945127]]"
default,17,"battery, lithium, temperature, cold, batteries, cooling, pack, ion, lithium ion, battery pack","[[""battery"", 0.17572672473957604], [""lithium"", 0.07337758480649204], [""temperature"", 0.07309035163053614], [""cold"", 0.06129601759469216], [""batteries"", 0.058985941636494954], [""cooling"", 0.054898445975303675], [""pack"", 0.048556689096815125], [""ion"", 0.04843980527232678], [""lithium ion"", 0.04843980527232678], [""battery pack"", 0.04735993438358274]]"
default,18,"hybrid, plug, plug hybrid, hybrids, plug hybrids, electric, jetta, hybrid technology, hybrid plug, fuel","[[""hybrid"", 0.2122409139867508], [""plug"", 0.11324701758865242], [""plug hybrid"", 0.09206901101922765], [""hybrids"", 0.0732250715285958], [""plug hybrids"", 0.04098507392557987], [""electric"", 0.02940593336244608], [""jetta"", 0.028394717787272494], [""hybrid technology"", 0.023547503319952662], [""hybrid plug"", 0.022617979318874167], [""fuel"", 0.021720730445646937]]"
