representation_model,topic,words,weighted_words
KeyBERT,-1,"cars, vehicle, car, toyota, mustang, driving, accord, drive, hybrid, driver","[[""cars"", 0.4516129195690155], [""vehicle"", 0.44376811385154724], [""car"", 0.43519359827041626], [""toyota"", 0.4236893057823181], [""mustang"", 0.409051775932312], [""driving"", 0.39468085765838623], [""accord"", 0.338528037071228], [""drive"", 0.3322271704673767], [""hybrid"", 0.292651504278183], [""driver"", 0.2906956970691681]]"
KeyBERT,0,"lexus, volvo, car, bmw, customers, vehicle, design, new","[[""lexus"", 0.3839740753173828], [""volvo"", 0.33097755908966064], [""car"", 0.3128555417060852], [""bmw"", 0.3068218529224396], [""customers"", 0.2981198728084564], [""vehicle"", 0.29386335611343384], [""design"", 0.2889055013656616], [""new"", 0.2846592664718628]]"
KeyBERT,1,"rear, steering, chassis, motor, vehicle, drive, driving","[[""rear"", 0.4829295873641968], [""steering"", 0.46291622519493103], [""chassis"", 0.459771066904068], [""motor"", 0.4580737352371216], [""vehicle"", 0.4572148323059082], [""drive"", 0.3851221799850464], [""driving"", 0.34943294525146484]]"
KeyBERT,2,"horsepower, engine, turbocharged, engines, motor, motors, tesla, v6, car, electrification","[[""horsepower"", 0.5740874409675598], [""engine"", 0.5389750003814697], [""turbocharged"", 0.5304328799247742], [""engines"", 0.5139764547348022], [""motor"", 0.5123379230499268], [""motors"", 0.49295341968536377], [""tesla"", 0.4241456091403961], [""v6"", 0.4169059991836548], [""car"", 0.40160810947418213], [""electrification"", 0.39852121472358704]]"
KeyBERT,3,"trunk, cargo, seats, passengers, seat, compartment, seating, cabin, storage, luggage","[[""trunk"", 0.49931079149246216], [""cargo"", 0.48335719108581543], [""seats"", 0.4421587288379669], [""passengers"", 0.42190515995025635], [""seat"", 0.4130108952522278], [""compartment"", 0.4089358150959015], [""seating"", 0.4063785970211029], [""cabin"", 0.3801290988922119], [""storage"", 0.36828354001045227], [""luggage"", 0.3481273949146271]]"
KeyBERT,4,"smartphone, android, mobile, apps, touchscreen, displays, screen, app, navigation, apple","[[""smartphone"", 0.5451961755752563], [""android"", 0.4910885691642761], [""mobile"", 0.4766535460948944], [""apps"", 0.4578382968902588], [""touchscreen"", 0.4391881823539734], [""displays"", 0.4062105119228363], [""screen"", 0.40434402227401733], [""app"", 0.38547027111053467], [""navigation"", 0.378317654132843], [""apple"", 0.3355548083782196]]"
KeyBERT,5,"safety, driving, vehicle, braking, steering, driver, traffic, lane, parking, alerts","[[""safety"", 0.44707536697387695], [""driving"", 0.4165896773338318], [""vehicle"", 0.3966202735900879], [""braking"", 0.38996970653533936], [""steering"", 0.3837379813194275], [""driver"", 0.3826953172683716], [""traffic"", 0.3797606825828552], [""lane"", 0.368943989276886], [""parking"", 0.3593369722366333], [""alerts"", 0.3571552038192749]]"
KeyBERT,6,"charging, charger, charge, charged, outlet, bmw, car, plug, battery, vehicle","[[""charging"", 0.5820909142494202], [""charger"", 0.4992033839225769], [""charge"", 0.4708220958709717], [""charged"", 0.38641196489334106], [""outlet"", 0.28094372153282166], [""bmw"", 0.25568529963493347], [""car"", 0.23669615387916565], [""plug"", 0.2316828817129135], [""battery"", 0.23072770237922668], [""vehicle"", 0.19906163215637207]]"
KeyBERT,7,"headlights, taillights, lighting, lights, led, design","[[""headlights"", 0.5502794981002808], [""taillights"", 0.4384334981441498], [""lighting"", 0.4231376051902771], [""lights"", 0.37709856033325195], [""led"", 0.3512675166130066], [""design"", 0.33469265699386597]]"
KeyBERT,8,"interior, inside, design, materials, luxury, surfaces, sculpture","[[""interior"", 0.7432470321655273], [""inside"", 0.506214439868927], [""design"", 0.3234332799911499], [""materials"", 0.2625885009765625], [""luxury"", 0.2172890305519104], [""surfaces"", 0.20448169112205505], [""sculpture"", 0.20236530900001526]]"
KeyBERT,9,"sonata, hyundai, kia, toyota, car, vehicles, new, design, quality","[[""sonata"", 0.6574573516845703], [""hyundai"", 0.6252526640892029], [""kia"", 0.45179879665374756], [""toyota"", 0.39532822370529175], [""car"", 0.32095402479171753], [""vehicles"", 0.23947051167488098], [""new"", 0.22960034012794495], [""design"", 0.21716389060020447], [""quality"", 0.21103769540786743]]"
KeyBERT,10,"audi, car, vehicle, suv, a6, electric, a7, a3, a4, a8","[[""audi"", 0.7305129766464233], [""car"", 0.40524229407310486], [""vehicle"", 0.37630903720855713], [""suv"", 0.35788291692733765], [""a6"", 0.2959096431732178], [""electric"", 0.29418817162513733], [""a7"", 0.2880416512489319], [""a3"", 0.2704371213912964], [""a4"", 0.26120540499687195], [""a8"", 0.25590771436691284]]"
KeyBERT,11,"elantra, hyundai, elr, sedan, hybrid, cadillac, car, 2021, compact, safety","[[""elantra"", 0.6194148063659668], [""hyundai"", 0.5089366436004639], [""elr"", 0.40914902091026306], [""sedan"", 0.4071761965751648], [""hybrid"", 0.40331727266311646], [""cadillac"", 0.3152957558631897], [""car"", 0.3088497221469879], [""2021"", 0.2327870875597], [""compact"", 0.22432410717010498], [""safety"", 0.2132670134305954]]"
KeyBERT,12,"speed, kilometers, kilometer, km, fast, seconds, range, hour","[[""speed"", 0.4404261112213135], [""kilometers"", 0.4194514751434326], [""kilometer"", 0.3758056163787842], [""km"", 0.35876554250717163], [""fast"", 0.33149001002311707], [""seconds"", 0.3181611895561218], [""range"", 0.31459513306617737], [""hour"", 0.2710767090320587]]"
KeyBERT,13,"nissanusa, nissan, leaf, ev, vehicle, car, sedans, mobility, plant, autonomous","[[""nissanusa"", 0.5559112429618835], [""nissan"", 0.5557941198348999], [""leaf"", 0.45811235904693604], [""ev"", 0.3029673993587494], [""vehicle"", 0.30083775520324707], [""car"", 0.28590041399002075], [""sedans"", 0.2550331950187683], [""mobility"", 0.2499624639749527], [""plant"", 0.24989598989486694], [""autonomous"", 0.22672536969184875]]"
KeyBERT,14,"polestar, brand, volvo, electric, design, performance, customers, customer","[[""polestar"", 0.7876608371734619], [""brand"", 0.3132198452949524], [""volvo"", 0.2668565511703491], [""electric"", 0.25916311144828796], [""design"", 0.21390676498413086], [""performance"", 0.21153391897678375], [""customers"", 0.2078772634267807], [""customer"", 0.20672398805618286]]"
