representation_model,topic,words,weighted_words
MMR,-1,"car, new","[[""car"", 0.01508179767696154], [""new"", 0.013056383242522477]]"
MMR,0,"car, bmw","[[""car"", 0.016794584283470332], [""bmw"", 0.01378116266129884]]"
MMR,1,"rear, steering, car, suspension, speed, transmission","[[""rear"", 0.02995275386385468], [""steering"", 0.023102016150055405], [""car"", 0.017519485409752216], [""suspension"", 0.016614764423861218], [""speed"", 0.015554128595235979], [""transmission"", 0.013345995613495323]]"
MMR,2,"electric, engine, horsepower, torque, liter, battery, cylinder, motor, fuel, vehicle","[[""electric"", 0.049145782881831364], [""engine"", 0.03685086338221708], [""horsepower"", 0.03262171678330407], [""torque"", 0.026189020955457897], [""liter"", 0.017878128844089073], [""battery"", 0.01704942419160617], [""cylinder"", 0.01661096690433582], [""motor"", 0.015880710109477864], [""fuel"", 0.012650387545464029], [""vehicle"", 0.011952261258981875]]"
MMR,3,"seats, door, cargo, rear, space, trunk, leather, fiber, interior","[[""seats"", 0.029513406796558558], [""door"", 0.024733254342173036], [""cargo"", 0.021727296155324018], [""rear"", 0.021338204089056092], [""space"", 0.020197128186329613], [""trunk"", 0.02018290871927699], [""leather"", 0.018271247787365243], [""fiber"", 0.015857010799354653], [""interior"", 0.014573278113837079]]"
MMR,4,"navigation, screen, voice, phone, carplay, apple, android, smartphone","[[""navigation"", 0.0326196871888696], [""screen"", 0.029464567321019576], [""voice"", 0.02510478656084302], [""phone"", 0.020520336525802315], [""carplay"", 0.018318798622470385], [""apple"", 0.017068934203120185], [""android"", 0.01680976367470688], [""smartphone"", 0.015170159077299076]]"
MMR,5,"lane, assist, braking, traffic, collision, camera, pedal, parking, detection, driver","[[""lane"", 0.037532303415351444], [""assist"", 0.03415973091354417], [""braking"", 0.028845121076864898], [""traffic"", 0.0260423958865315], [""collision"", 0.023020385039585], [""camera"", 0.022001553816217136], [""pedal"", 0.02123100389713905], [""parking"", 0.020516763959016096], [""detection"", 0.018316806511030365], [""driver"", 0.0179357699003725]]"
MMR,6,"charging, charge, taycan, charger, stations, volt, porsche, cable","[[""charging"", 0.0964839028293186], [""charge"", 0.05132129924303544], [""taycan"", 0.04272715886995999], [""charger"", 0.027911132453368973], [""stations"", 0.02742485079173934], [""volt"", 0.021347350336838405], [""porsche"", 0.02105274602975893], [""cable"", 0.018346949168083406]]"
MMR,7,"led, lights, headlights, kidney, rear, roof, laser","[[""led"", 0.052728185194806786], [""lights"", 0.03591862206434125], [""headlights"", 0.032695385236165296], [""kidney"", 0.024129868867442495], [""rear"", 0.019662775248916055], [""roof"", 0.01742647884375325], [""laser"", 0.0170712210680931]]"
MMR,8,"interior, materials, design, colors, inside, surfaces, premium, beautiful","[[""interior"", 0.08208120922293563], [""materials"", 0.025295010261671132], [""design"", 0.021330875534591624], [""colors"", 0.016626518274060826], [""inside"", 0.014523595283745647], [""surfaces"", 0.01307313631038357], [""premium"", 0.01287467694368255], [""beautiful"", 0.012805467609920403]]"
MMR,9,"sonata, hyundai, kia, new, warranty, 2020, fleet, optima, safety","[[""sonata"", 0.09676609855955848], [""hyundai"", 0.08881240179501557], [""kia"", 0.038047105265216805], [""new"", 0.021433645154020426], [""warranty"", 0.01954714971404707], [""2020"", 0.0156072762692784], [""fleet"", 0.01450699569597133], [""optima"", 0.014182680939836703], [""safety"", 0.013342750012281428]]"
MMR,10,"audi, q5, a7, a3, a8, quattro, a6, electric","[[""audi"", 0.13124348450000878], [""q5"", 0.024779271840512672], [""a7"", 0.02435720809052072], [""a3"", 0.02202381173706799], [""a8"", 0.02180960800376905], [""quattro"", 0.021797093237911916], [""a6"", 0.02140028022589731], [""electric"", 0.019242919654563626]]"
MMR,11,"elantra, elr, hyundai, genesis, generation, brand, compact, safety, design","[[""elantra"", 0.15611095538978834], [""elr"", 0.039552546808481394], [""hyundai"", 0.0393145269031543], [""genesis"", 0.028944535118899266], [""generation"", 0.021977088329577937], [""brand"", 0.01957921106431978], [""compact"", 0.016869629946690386], [""safety"", 0.01634758494338474], [""design"", 0.013910194308340581]]"
MMR,12,"range, kilometers, seconds, electric, speed, 60, battery, km","[[""range"", 0.06505325598897482], [""kilometers"", 0.04727608419100877], [""seconds"", 0.04479465636535066], [""electric"", 0.03821705367134389], [""speed"", 0.03615548045148724], [""60"", 0.024544282629611235], [""battery"", 0.022369403346335987], [""km"", 0.02124900786312395]]"
MMR,13,"nissan, leaf, altima, intelligent, ev, sentra, mobility, technology, nissanusa, driving","[[""nissan"", 0.1436840174438436], [""leaf"", 0.11406844254502943], [""altima"", 0.05112239707016912], [""intelligent"", 0.02694264954773262], [""ev"", 0.02435906253954389], [""sentra"", 0.020454537791595066], [""mobility"", 0.018542397176534393], [""technology"", 0.01746617507521868], [""nissanusa"", 0.015472325390383698], [""driving"", 0.0143451238969732]]"
MMR,14,"polestar, electric, car, brand, volvo, performance, customer","[[""polestar"", 0.2192224979684295], [""electric"", 0.027489751450074176], [""car"", 0.026272123700431343], [""brand"", 0.021431635691758877], [""volvo"", 0.018202122754803405], [""performance"", 0.015014354147893693], [""customer"", 0.013791312370840194]]"
MMR,15,"nsx, acura, nx, supercar, standard, cx, brand, performance, driver, ilx","[[""nsx"", 0.09195098523956872], [""acura"", 0.08410548348240342], [""nx"", 0.0401959013447298], [""supercar"", 0.03425967033601808], [""standard"", 0.017324370613383815], [""cx"", 0.017090003378333926], [""brand"", 0.016365726570912398], [""performance"", 0.015560093182506417], [""driver"", 0.013750800093450434], [""ilx"", 0.012541478409751502]]"
MMR,16,"infiniti, q50, infinity, new, brand, performance, market, johan, globally","[[""infiniti"", 0.12687055520566667], [""q50"", 0.08924307552154742], [""infinity"", 0.047300891716854254], [""new"", 0.03077031527330245], [""brand"", 0.029571722581216025], [""performance"", 0.020082856735349486], [""market"", 0.01971121585177754], [""johan"", 0.016938793583616576], [""globally"", 0.013757906095764078]]"
MMR,17,"battery, temperature, lithium, cold, batteries, cooling, pack, ion, winter","[[""battery"", 0.10366700031012537], [""temperature"", 0.0404525686083877], [""lithium"", 0.04038572526049516], [""cold"", 0.033311259527068406], [""batteries"", 0.03219711586387766], [""cooling"", 0.03001735230977096], [""pack"", 0.02674912928662686], [""ion"", 0.026485899096856728], [""winter"", 0.014683490718055957]]"
MMR,18,"hybrid, plug, hybrids, electric, jetta, fuel, car","[[""hybrid"", 0.158666845991327], [""plug"", 0.08170068298041648], [""hybrids"", 0.05033802403279173], [""electric"", 0.02277067375760483], [""jetta"", 0.01893652176834497], [""fuel"", 0.015862706458327044], [""car"", 0.014194751457582172]]"
