Topic,Count,Name
-1,1331,-1_car_new_design_performance
0,595,0_kia_electric_ev_ev6
1,450,1_rear_interior_seats_car
2,322,2_president_auto_vice_ladies
3,309,3_bmw_class_mercedes_benz
4,211,4_toyota_corolla_pacifica_minivan
5,170,5_karma_products_need_brand
6,157,6_assist_lane_parking_safety
7,134,7_mbux_display_screen_functions
8,133,8_charging_charge_route_mercedes
9,123,9_ioniq_hyundai_mobility_future
10,112,10_google_car_android_phone
11,109,11_accord_sonata_camry_gian
12,106,12_eqs_eqe_eq_mercedes
13,98,13_volvo_s60_new s60_car
14,96,14_infiniti_market_infinity_sales
15,92,15_xc90_new xc90_ex90_volvo
16,91,16_clarity_fuel_fuel cell_cell
17,78,17_mustang_mach_mustang mach_ford
18,72,18_k27_america_electric_ev
19,70,19_steering_suspension_corners_rear
20,57,20_bmw_i5_series_digital
21,50,21_buick_brand_sportback_lacrosse
22,50,22_highlander_grand highlander_grand_available
