representation_model,topic,words,weighted_words
default,-1,"car, new, design, performance, vehicle, drive, engine, driving, technology, crown","[[""car"", 0.02272698633412752], [""new"", 0.021668223199542615], [""design"", 0.01379281939813821], [""performance"", 0.013026526003058803], [""vehicle"", 0.01298128139249843], [""drive"", 0.011985597359720296], [""engine"", 0.011537896775318522], [""driving"", 0.010876028023086478], [""technology"", 0.010752420047982988], [""crown"", 0.010585172202332696]]"
default,0,"kia, electric, ev, ev6, drive, range, battery, power, hybrid, car","[[""kia"", 0.043245332683593415], [""electric"", 0.03447187786593314], [""ev"", 0.024344111775855957], [""ev6"", 0.02370262756523858], [""drive"", 0.021294178501267427], [""range"", 0.020935133926045447], [""battery"", 0.01739398242620216], [""power"", 0.017202499638677936], [""hybrid"", 0.01605050334698072], [""car"", 0.015922334865636916]]"
default,1,"rear, interior, seats, car, design, seat, look, door, leather, cargo","[[""rear"", 0.037314636098570046], [""interior"", 0.03253021337277034], [""seats"", 0.025760110706693852], [""car"", 0.02514252514709417], [""design"", 0.02487036885892807], [""seat"", 0.02071754905393241], [""look"", 0.017869069139702744], [""door"", 0.016267108279853015], [""leather"", 0.015593475393140871], [""cargo"", 0.014499685627515942]]"
default,2,"president, auto, vice, ladies, vice president, conference, press, press conference, fun, tell","[[""president"", 0.03958659649935492], [""auto"", 0.036611639104988596], [""vice"", 0.03549094403072627], [""ladies"", 0.03531950541736592], [""vice president"", 0.03436564794874858], [""conference"", 0.029430778934044527], [""press"", 0.0278291932661897], [""press conference"", 0.025380946095171626], [""fun"", 0.0247856075482982], [""tell"", 0.023037266852534512]]"
default,3,"bmw, class, mercedes, benz, mercedes benz, new, series, benz class, bmw series, new bmw","[[""bmw"", 0.07245346120132333], [""class"", 0.056408233349150454], [""mercedes"", 0.0542821033194557], [""benz"", 0.050717568133808524], [""mercedes benz"", 0.05040826528423035], [""new"", 0.03496582444191757], [""series"", 0.0344833649102365], [""benz class"", 0.03424191256577517], [""bmw series"", 0.024274619137983733], [""new bmw"", 0.022819357737540097]]"
default,4,"toyota, corolla, pacifica, minivan, prius, new, car, rav4, chrysler, cars","[[""toyota"", 0.04468788484171749], [""corolla"", 0.04310512761782361], [""pacifica"", 0.04266998086207999], [""minivan"", 0.03354093991171051], [""prius"", 0.03148359942072743], [""new"", 0.029887079647041282], [""car"", 0.026975395629090234], [""rav4"", 0.02616203048128789], [""chrysler"", 0.02514000828114818], [""cars"", 0.024453484690650878]]"
default,5,"karma, products, need, brand, designers, culture, future, change, product, customers","[[""karma"", 0.05251394511859437], [""products"", 0.03340897400147129], [""need"", 0.02727230704312996], [""brand"", 0.02316433777026535], [""designers"", 0.021780134397915665], [""culture"", 0.02059906573240273], [""future"", 0.02046176514514915], [""change"", 0.019987747708934592], [""product"", 0.019922812273319806], [""customers"", 0.019827626801981132]]"
default,6,"assist, lane, parking, safety, collision, traffic, driver, road, camera, car","[[""assist"", 0.06308973450674484], [""lane"", 0.043834921262273535], [""parking"", 0.036906560184095064], [""safety"", 0.03444330137730989], [""collision"", 0.02838346347444974], [""traffic"", 0.02828729479581937], [""driver"", 0.02722215961843554], [""road"", 0.02722215961843554], [""camera"", 0.025768693534635383], [""car"", 0.0256683024419147]]"
default,7,"mbux, display, screen, functions, center, navigation, control, console, displays, information","[[""mbux"", 0.05607790277708177], [""display"", 0.054850263338163924], [""screen"", 0.04118923831206226], [""functions"", 0.031890244633583975], [""center"", 0.029957853130443624], [""navigation"", 0.029649383833093464], [""control"", 0.027573299009725702], [""console"", 0.026183156908389252], [""displays"", 0.025366063061909156], [""information"", 0.025088207022821097]]"
default,8,"charging, charge, route, mercedes, charger, home, stations, minutes, charging stations, fast","[[""charging"", 0.12973631336058025], [""charge"", 0.09439288357847521], [""route"", 0.042348969318647754], [""mercedes"", 0.031524860968989724], [""charger"", 0.030818143418111708], [""home"", 0.0250212457753987], [""stations"", 0.024516163585403473], [""minutes"", 0.023732991163329734], [""charging stations"", 0.023304293458855336], [""fast"", 0.022320950967705495]]"
