representation_model,topic,words,weighted_words
keybert,-1,"vehicle, car, cars, driving, design, features, engine, electric, lexus, drive","[[""vehicle"", 0.4124597907066345], [""car"", 0.395740807056427], [""cars"", 0.38546988368034363], [""driving"", 0.31614482402801514], [""design"", 0.29605546593666077], [""features"", 0.29571473598480225], [""engine"", 0.2907445430755615], [""electric"", 0.2789090871810913], [""lexus"", 0.27844274044036865], [""drive"", 0.26908090710639954]]"
keybert,0,"ev, ev6, kia, hybrid, evs, electric, vehicle, car, vehicles, cars","[[""ev"", 0.5270037651062012], [""ev6"", 0.5166988372802734], [""kia"", 0.49414440989494324], [""hybrid"", 0.45585763454437256], [""evs"", 0.42922595143318176], [""electric"", 0.40892118215560913], [""vehicle"", 0.40700164437294006], [""car"", 0.3861950933933258], [""vehicles"", 0.37533053755760193], [""cars"", 0.34647923707962036]]"
keybert,1,"design, interior, car, vehicle, rear, shape, looks","[[""design"", 0.4105500280857086], [""interior"", 0.3461230397224426], [""car"", 0.3332935571670532], [""vehicle"", 0.32973992824554443], [""rear"", 0.319038987159729], [""shape"", 0.31188204884529114], [""looks"", 0.3044740557670593]]"
keybert,2,"excited, you","[[""excited"", 0.31695449352264404], [""you"", 0.3071964979171753]]"
keybert,3,"mercedes, bmw, benz, sedan, car, models, model, brand, coupe, class","[[""mercedes"", 0.5953260064125061], [""bmw"", 0.5302712321281433], [""benz"", 0.48556581139564514], [""sedan"", 0.4374663233757019], [""car"", 0.3572973310947418], [""models"", 0.3335770070552826], [""model"", 0.32047057151794434], [""brand"", 0.3150053918361664], [""coupe"", 0.29145485162734985], [""class"", 0.28342676162719727]]"
keybert,4,"toyota, corolla, chrysler, vehicle, car, cars, minivan, hybrid, rav4, drive","[[""toyota"", 0.6000118255615234], [""corolla"", 0.5519938468933105], [""chrysler"", 0.44474515318870544], [""vehicle"", 0.4257480502128601], [""car"", 0.3965757489204407], [""cars"", 0.3917118012905121], [""minivan"", 0.34998655319213867], [""hybrid"", 0.346075177192688], [""rav4"", 0.33173465728759766], [""drive"", 0.29086095094680786]]"
keybert,5,"designers, hire, innovation, customers, brand, passion, design","[[""designers"", 0.384678453207016], [""hire"", 0.36789125204086304], [""innovation"", 0.3557015657424927], [""customers"", 0.30187714099884033], [""brand"", 0.29626286029815674], [""passion"", 0.27362653613090515], [""design"", 0.26081234216690063]]"
keybert,6,"safety, steering, driver, vehicle, driving, detects, lane, assist, sensors, radar","[[""safety"", 0.45963093638420105], [""steering"", 0.4054795801639557], [""driver"", 0.34462419152259827], [""vehicle"", 0.34332895278930664], [""driving"", 0.3376684784889221], [""detects"", 0.3324148952960968], [""lane"", 0.3214856684207916], [""assist"", 0.3185165226459503], [""sensors"", 0.3151731491088867], [""radar"", 0.31273776292800903]]"
keybert,7,"touchscreen, controls, screen, menus, menu, displays, buttons, display, navigation, mbux","[[""touchscreen"", 0.5189701318740845], [""controls"", 0.49018147587776184], [""screen"", 0.4707987308502197], [""menus"", 0.4639750123023987], [""menu"", 0.43449726700782776], [""displays"", 0.4196699261665344], [""buttons"", 0.4140685796737671], [""display"", 0.38719642162323], [""navigation"", 0.38636326789855957], [""mbux"", 0.38369646668434143]]"
keybert,8,"charging, charge, charger, superchargers, battery, convenient, mercedes, tesla, plug, fordpass","[[""charging"", 0.6242960691452026], [""charge"", 0.5574007034301758], [""charger"", 0.48438718914985657], [""superchargers"", 0.3653695583343506], [""battery"", 0.23774626851081848], [""convenient"", 0.22722312808036804], [""mercedes"", 0.22557300329208374], [""tesla"", 0.20958858728408813], [""plug"", 0.19783878326416016], [""fordpass"", 0.18969333171844482]]"
keybert,9,"ioniq, hyundai, ev, electrified, vehicle, vehicles, powertrains, electric, egmp, mobility","[[""ioniq"", 0.679167628288269], [""hyundai"", 0.5184034705162048], [""ev"", 0.4049553871154785], [""electrified"", 0.2956179976463318], [""vehicle"", 0.2952633500099182], [""vehicles"", 0.29123008251190186], [""powertrains"", 0.25733163952827454], [""electric"", 0.25099897384643555], [""egmp"", 0.21902965009212494], [""mobility"", 0.1944204866886139]]"
keybert,10,"smartphone, android, apps, iphone, app, devices, phone, apple, car, connectivity","[[""smartphone"", 0.5505316257476807], [""android"", 0.486596941947937], [""apps"", 0.45063909888267517], [""iphone"", 0.42437171936035156], [""app"", 0.38028377294540405], [""devices"", 0.3768419921398163], [""phone"", 0.34351369738578796], [""apple"", 0.2969023883342743], [""car"", 0.2916349768638611], [""connectivity"", 0.2828465700149536]]"
