representation_model,topic,words,weighted_words
mmr,-1,"is, car, new","[[""is"", 0.01948447128706007], [""car"", 0.015401126581476807], [""new"", 0.014702583684989235]]"
mmr,0,"kia, electric, ev, ev6, drive, range, power, battery","[[""kia"", 0.027624013129672744], [""electric"", 0.023353414393922575], [""ev"", 0.015352802739112175], [""ev6"", 0.01454545574095415], [""drive"", 0.014271218576307802], [""range"", 0.013491143041748062], [""power"", 0.011104677504368545], [""battery"", 0.011067769231817109]]"
mmr,1,"rear, interior, car, design, seats, also, seat, look","[[""rear"", 0.022144512778065305], [""interior"", 0.01884758692474053], [""car"", 0.016703365574058302], [""design"", 0.0151407095111251], [""seats"", 0.014535052187521937], [""also"", 0.013260069858360746], [""seat"", 0.011700219663061989], [""look"", 0.010523848219584924]]"
mmr,2,show,"[[""show"", 0.021061550448762643]]"
mmr,3,"bmw, class, mercedes, benz, new, series, car, design, kidney","[[""bmw"", 0.04912294272903797], [""class"", 0.03742853790409638], [""mercedes"", 0.03648869844000379], [""benz"", 0.03298033352384039], [""new"", 0.026637294167993614], [""series"", 0.022454236875190943], [""car"", 0.012456640155269927], [""design"", 0.012179637570385204], [""kidney"", 0.011578185268258169]]"
mmr,4,"toyota, corolla, pacifica, new, minivan, car, prius, have, rav4","[[""toyota"", 0.02325811413827167], [""corolla"", 0.021612917878171312], [""pacifica"", 0.021422783069955088], [""new"", 0.01848317975644322], [""minivan"", 0.01668226669246438], [""car"", 0.01666100939141652], [""prius"", 0.015632911070923804], [""have"", 0.013764729309477749], [""rav4"", 0.012931591138311209]]"
mmr,5,"have, karma, because, them, products","[[""have"", 0.02203173863210375], [""karma"", 0.020519975814145233], [""because"", 0.017216771556318435], [""them"", 0.013598812395483089], [""products"", 0.013527699714502578]]"
mmr,6,"assist, lane, parking, safety, car, driver, traffic, collision, camera, steering","[[""assist"", 0.041810744468193134], [""lane"", 0.028487056391667563], [""parking"", 0.02420966162603991], [""safety"", 0.02364497219885869], [""car"", 0.020299742888603065], [""driver"", 0.018725815077334486], [""traffic"", 0.018594829858929393], [""collision"", 0.0181595087110781], [""camera"", 0.016498429660497388], [""steering"", 0.014939838312769998]]"
mmr,7,"display, mbux, screen, functions, center, navigation, control, console, displays","[[""display"", 0.03355547580555298], [""mbux"", 0.033285096565570514], [""screen"", 0.02474753612066939], [""functions"", 0.018841950476297362], [""center"", 0.018081288771372227], [""navigation"", 0.01769629120970734], [""control"", 0.017070639074631622], [""console"", 0.015227845513969957], [""displays"", 0.014693184373843312]]"
mmr,8,"charging, charge, route, mercedes, charger, stations, minutes, fast, plug","[[""charging"", 0.07985084150208047], [""charge"", 0.05655763991002128], [""route"", 0.024315298877074707], [""mercedes"", 0.019661061753292238], [""charger"", 0.01768337367102722], [""stations"", 0.013990052415900588], [""minutes"", 0.013707905876493153], [""fast"", 0.013107382008627226], [""plug"", 0.012719772114039917]]"
