representation_model,topic,words,weighted_words
pos,-1,"car, new, design, vehicle, performance, experience, power, cars, driver","[[""car"", 0.015401126581476807], [""new"", 0.014702583684989235], [""design"", 0.008565103134296061], [""vehicle"", 0.008062258520636236], [""performance"", 0.007772160482447273], [""experience"", 0.00549732290927223], [""power"", 0.005192882746688818], [""cars"", 0.005177102054545788], [""driver"", 0.0050739321099845]]"
pos,0,"electric, drive, range, car, power, battery, hybrid, new, driving","[[""electric"", 0.023353414393922575], [""drive"", 0.014271218576307802], [""range"", 0.013491143041748062], [""car"", 0.011755204561100938], [""power"", 0.011104677504368545], [""battery"", 0.011067769231817109], [""hybrid"", 0.010441317430860134], [""new"", 0.01043381050158498], [""driving"", 0.010071535729777169]]"
pos,1,"rear, interior, car, design, seats, seat, look","[[""rear"", 0.022144512778065305], [""interior"", 0.01884758692474053], [""car"", 0.016703365574058302], [""design"", 0.0151407095111251], [""seats"", 0.014535052187521937], [""seat"", 0.011700219663061989], [""look"", 0.010523848219584924]]"
pos,2,"show, auto","[[""show"", 0.021061550448762643], [""auto"", 0.013472694190306445]]"
pos,3,"class, new, series, car, design, kidney, driving, look, sedan","[[""class"", 0.03742853790409638], [""new"", 0.026637294167993614], [""series"", 0.022454236875190943], [""car"", 0.012456640155269927], [""design"", 0.012179637570385204], [""kidney"", 0.011578185268258169], [""driving"", 0.010060050105718392], [""look"", 0.007077877713323652], [""sedan"", 0.006968591809728082]]"
pos,4,"new, minivan, car, cars, first, vehicle, production","[[""new"", 0.01848317975644322], [""minivan"", 0.01668226669246438], [""car"", 0.01666100939141652], [""cars"", 0.013310740125125205], [""first"", 0.012615751193015957], [""vehicle"", 0.010204409430066912], [""production"", 0.008412081631040236]]"
pos,5,"karma, products, brand, designers","[[""karma"", 0.020519975814145233], [""products"", 0.013527699714502578], [""brand"", 0.009767375255739064], [""designers"", 0.008616788430465748]]"
pos,6,"assist, lane, parking, safety, car, system, road, driver, traffic, collision","[[""assist"", 0.041810744468193134], [""lane"", 0.028487056391667563], [""parking"", 0.02420966162603991], [""safety"", 0.02364497219885869], [""car"", 0.020299742888603065], [""system"", 0.01908996091407732], [""road"", 0.018725815077334486], [""driver"", 0.018725815077334486], [""traffic"", 0.018594829858929393], [""collision"", 0.0181595087110781]]"
pos,7,"display, screen, functions, center, navigation, control, console, information, displays, touchscreen","[[""display"", 0.03355547580555298], [""screen"", 0.02474753612066939], [""functions"", 0.018841950476297362], [""center"", 0.018081288771372227], [""navigation"", 0.01769629120970734], [""control"", 0.017070639074631622], [""console"", 0.015227845513969957], [""information"", 0.015131069715200842], [""displays"", 0.014693184373843312], [""touchscreen"", 0.01337931460000227]]"
pos,8,"charging, charge, route, charger, home, stations, minutes, fast, plug","[[""charging"", 0.07985084150208047], [""charge"", 0.05655763991002128], [""route"", 0.024315298877074707], [""charger"", 0.01768337367102722], [""home"", 0.014883286345143418], [""stations"", 0.013990052415900588], [""minutes"", 0.013707905876493153], [""fast"", 0.013107382008627226], [""plug"", 0.012719772114039917]]"
pos,9,"mobility, charging, future, new, vehicle, electric, first, platform","[[""mobility"", 0.01503048308545397], [""charging"", 0.013797523434454034], [""future"", 0.013744618031527336], [""new"", 0.013419176789173627], [""vehicle"", 0.011433251593170251], [""electric"", 0.010424008540710522], [""first"", 0.00946862010497864], [""platform"", 0.009143522078886985]]"
pos,10,"car, smartphone, system, connected, maps, apps, navigation, example, free","[[""car"", 0.028234435862285988], [""smartphone"", 0.016114754216646737], [""system"", 0.01573438726675941], [""connected"", 0.015378054408412006], [""maps"", 0.014469132416639824], [""apps"", 0.013525560743053583], [""navigation"", 0.0134073246943977], [""example"", 0.011516158806707314], [""free"", 0.011169304171184224]]"
pos,11,"accord, new, design, look, overall, car","[[""accord"", 0.08534161401168297], [""new"", 0.016008612662520443], [""design"", 0.015737524346867957], [""look"", 0.012193934036091595], [""overall"", 0.010726756608837365], [""car"", 0.008852494347632989]]"
pos,12,"electric, new, car, air, first, system, specific, light","[[""electric"", 0.022280209985947656], [""new"", 0.016709550683855615], [""car"", 0.01591596399466534], [""air"", 0.012931506423718406], [""first"", 0.010043001048961202], [""system"", 0.009978291588399253], [""specific"", 0.009716324581417083], [""light"", 0.008730363847189752]]"
pos,13,"s60, car, new, world, safety, cars, plant","[[""s60"", 0.044336791472440545], [""car"", 0.021877701145777823], [""new"", 0.018792446984088943], [""world"", 0.01747680522393786], [""safety"", 0.01667975883904349], [""cars"", 0.01204952818543696], [""plant"", 0.008272941310997295]]"
pos,14,"market, infinity, brand, sales, growth, cars, new","[[""market"", 0.03208418988798564], [""infinity"", 0.027717437621762684], [""brand"", 0.021697271704175104], [""sales"", 0.02147116094561445], [""growth"", 0.013936520902547498], [""cars"", 0.013725863811120056], [""new"", 0.013144563415218411]]"
pos,15,"new, safety, car, road, design, beginning, cars, world, seat, system","[[""new"", 0.04225306564251181], [""safety"", 0.022094721911633444], [""car"", 0.018771226135208558], [""road"", 0.01731581091010225], [""design"", 0.017173149879192752], [""beginning"", 0.01350871433104079], [""cars"", 0.01282606100675608], [""world"", 0.010417735638375392], [""seat"", 0.010254724305522867], [""system"", 0.009556260919563542]]"
pos,16,"clarity, fuel, cell, electric, vehicles, plug, electrified, hybrid, customers, hydrogen","[[""clarity"", 0.07880994899557676], [""fuel"", 0.040423457679745124], [""cell"", 0.032956469469751205], [""electric"", 0.027768590952820423], [""vehicles"", 0.027665654097375845], [""plug"", 0.0274660474959507], [""electrified"", 0.02727500387182896], [""hybrid"", 0.02324461609929756], [""customers"", 0.0197608684203546], [""hydrogen"", 0.01903775664024023]]"
pos,17,"vehicle, car, customers, different, electric, intelligent","[[""vehicle"", 0.02169274731936105], [""car"", 0.013111590638718945], [""customers"", 0.013079296095714212], [""different"", 0.010939810174558038], [""electric"", 0.009888935858963025], [""intelligent"", 0.009588683577161698]]"
pos,18,"electric, vehicles, affordable, first, evolution, pre, auto","[[""electric"", 0.023307382474309062], [""vehicles"", 0.018780926997270714], [""affordable"", 0.017614715450666143], [""first"", 0.016971243857903346], [""evolution"", 0.016506540969326702], [""pre"", 0.015538230528664586], [""auto"", 0.01360872592641298]]"
pos,19,"steering, suspension, car, corners, rear, control, feel, little, system","[[""steering"", 0.0550286286310808], [""suspension"", 0.02609571677452164], [""car"", 0.02193802621122144], [""corners"", 0.02146608230481778], [""rear"", 0.020107298784945216], [""control"", 0.01766029003895661], [""feel"", 0.01762847889477782], [""little"", 0.015908230609396], [""system"", 0.01450943945499628]]"
pos,20,"series, new, digital, charging, display, plug, features, driver, models, hybrid","[[""series"", 0.03457302691226825], [""new"", 0.03301641518209341], [""digital"", 0.03165816192220981], [""charging"", 0.02299560289735006], [""display"", 0.02219319373527645], [""plug"", 0.021747038954004094], [""features"", 0.020881519950358363], [""driver"", 0.01959789182022922], [""models"", 0.01941904451836689], [""hybrid"", 0.018404598326600158]]"
pos,21,"regal, brand, new, lineup, industry, top, market, customers","[[""regal"", 0.03915229086663492], [""brand"", 0.032318313797127955], [""new"", 0.024604232792667918], [""lineup"", 0.018656459388760243], [""industry"", 0.015333348712485996], [""top"", 0.014056430776704935], [""market"", 0.013805924133618062], [""customers"", 0.013402031973400666]]"
pos,22,"hybrid, available, standard, grade, limited, bronze, row","[[""hybrid"", 0.039558900511335274], [""available"", 0.039226398408611564], [""standard"", 0.03737996881734972], [""grade"", 0.02853483264477474], [""limited"", 0.024546946611993855], [""bronze"", 0.017952940651911935], [""row"", 0.017185998353411412]]"
